ID,3.5mm jack,Battery,GPS Support,GPU,Internal Storage,Card slot,NFC,Name,OS,Price,Primary Camera,Clock Speed,SIM,Secondary Camera,Sensors,Weight,Resolution
730,Yes,1800,,,10 MB,Dedicated Slot,,BlackZone TURBO,,‚¹849,1.3MP,1 MHz,,,,,320 x 240$$Pixels
731,Yes,2000,,,32 MB,,,Celkon C9 Jumbo,,"‚¹1,379",1.3MP,,Full Size SIM,,,,240 x 320 Pixels
732,Yes,800,,,,Dedicated Slot,,Lava Captain N1,,‚¹829,0.3MP,,,,,120 g,128 x 160 Pixels
733,Yes,3000,Yes,Adreno 308,32 GB,Dedicated Slot,,Redmi 5A ,Android Nougat 7.1.2,"‚¹6,999",13MP,1.4 GHz,Dual Nano SIM,5MP,"Infrared, Accelerometer, Proximity Sensor, Ambient Light Sensor",137 g,1280 x 720 Pixels
734,,2000,,,4 GB,Hybrid Slot,,Jio F90M,KaiOS,"‚¹1,590",2MP,,,,,,320 x 240$$Pixels
735,,2000,Yes,,8 GB,Dedicated Slot,,LYF C459 ,Android Marshmallow 6,"‚¹3,685",5MP,1.3 GHz,Micro SIM and Micro SIM,2MP,"Gyroscope, Ambient Light Sensor, Accelerometer, Proximity Sensor",139 g,480 x 854 Pixels
736,,2620,Yes,,16 GB,Dedicated Slot,,Sony Xperia R1 Dual ,Android Nougat 7,"‚¹10,490",13MP,2.4 GHz,Nano SIM,8MP,,154 g,1280 x 720 Pixels
737,Yes,1500,,,8 GB,Dedicated Slot,,Karbonn A1 INDIAN 4G with VoLTE ,Android Nougat 7.0,"‚¹3,049",3.2MP,1.1 GHz,Micro SIM,2MP,,116 g,800 x 480 Pixels
738,,800,,,32 MB,Dedicated Slot,,Lava CaptainN1 Lite,,‚¹799,0MP,,Full Size Sim,,,52 g,120 x 160$$Pixels
739,Yes,950,,,64 MB,Dedicated Slot,,Gfive U707,,‚¹669,0.3MP,,Normal SIM,,,,128 x 160$$Pixels
740,,2620,Yes,,32 GB,Dedicated Slot,,Sony Xperia R1 Plus Dual ,Android Nougat 7,"‚¹12,490",13MP,2.4 GHz,Nano SIM,8MP,,154 g,1280 x 720 Pixels
741,,2620,Yes,,32 GB,Dedicated Slot,,Sony Xperia R1 Plus Dual ,Android Nougat 7,"‚¹12,490",13MP,2.4 GHz,Nano SIM,8MP,,154 g,1280 x 720 Pixels
742,Yes,2000,,,32 MB,Dedicated Slot,,Aqua Neo pro,0,‚¹845,1.3MP,312 MHz,Full SIM,,,,320 x 240$$Pixels
743,Yes,800,,,32 KB,Dedicated Slot,,Lava Captain 4i,,‚¹889,0.3MP,1 GHz,,,,57 g,120 x 160 Pixels
744,Yes,4010,,,32 GB,Hybrid Slot,,Coolpad Note 5 ,Android Marshmallow 6,"‚¹9,399",13MP,1.5 GHz,,8MP,"Accelerometer, Geomagnetic Sensor, Proximity Sensor, Light Sensor, Fingerprint Sensor",173.4 g,1920 x 1080 pixels
745,,2620,Yes,,32 GB,Dedicated Slot,,Sony Xperia R1 Plus Dual ,Android Nougat 7,"‚¹12,490",13MP,2.4 GHz,Nano SIM,8MP,,154 g,1280 x 720 Pixels
746,Yes,1700,,,32 MB,,,Mtech M15 PRO,,"‚¹1,349",0.3MP,,Normal,,,13.15 g,240 X 320 Pixels
747,Yes,1600,,,4 GB,,,Intex Aqua 4.5E ,Android KitKat 4.4.2,"‚¹2,299",5MP,1.3 GHz,,2MP,,137 g,480 x 854 Pixels
748,Yes,3300,Yes,ARM Mali T830 MP1,32 GB,Dedicated Slot,Yes,Samsung Galaxy J7 Prime ,Android Marshmallow 6,"‚¹13,900",13MP,1.6 GHz,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",,1920 x 1080 Pixels
749,,3000,,,32 GB,Dedicated Slot,,Moto G4 Plus ,Android Marshmallow 6.0.1,"‚¹14,190",16MP,1.5 GHz,,5MP,,,1080 x 1920 Pixels
750,Yes,2000,Yes,A304 at 400 MHz,8 GB,Dedicated Slot,,Micromax Vdeo 3 ,Android Marshmallow 6,"‚¹4,999",5MP,1.1 GHz,Micro SIM and Micro SIM,2MP,"Gravity Sensors, Proximity Sensor, Light Sensor, Accelerometer",110 g,1280 x 720 pixels
751,,1050,,,32 MB,Dedicated Slot,,Ssky K7,,‚¹790,1.3MP,1.2 MHz,Normal,,,,320 x 428$$Pixels
752,Yes,1500,,,32.5 KB,,,Intex Tubo S5,,"‚¹1,399",0.3MP,,,,,,240 x 320 Pixels
753,,1050,,,10 MB,,,Ked 1500,Other,‚¹449,0MP,10 MHz,,,,,120 x 120$$Pixels
754,,800,,,32 KB,,,Intex Eco 105,N. A.,‚¹710,.3MP,,,,,,128 x 160 Pixels
755,Yes,1800,Yes,Mali MP2 at 512 MHz,8 GB,Dedicated Slot,,Micromax Vdeo 2 ,Android Marshmallow 6,"‚¹3,499",5MP,1.3 GHz,Micro SIM and Micro SIM,2MP,"Gravity Sensors, Proximity Sensor, Light Sensor",,854 x 480 pixels
756,Yes,2900,Yes,,32 GB,Dedicated Slot,,Micromax Canvas Infinity HS2 ,Android Nougat 7,"‚¹8,849",13MP,1.4 GHz,,,"Fingerprint Sensor, Proximity Sensor, Light Sensor, Accelerometer, Magnetic Sensor",,1440 x 720$$Pixels
757,,2450,Yes,,8 GB,Dedicated Slot,,InFocus M500 ,Android Lollipop 5.0,"‚¹4,077",5MP,1.2 GHz,,5MP,Yes,,1920 x 1080 Pixels
758,Yes,1400,No,,,,No,Karbonn K-Phone 1,,"‚¹1,250",1.3MP,,Mini SIM,,,,320 x 240 Pixels
759,,1100,,,,,,Micromax X605 Box,0,‚¹965,0.3MP,,,,,,125*125
760,Yes,1800,,,1 MB,Dedicated Slot,,Fox GOLD,,"‚¹1,299",0.3MP,1 MHz,,,,,240 x 320$$Pixels
761,,300,,,32 MB,Dedicated Slot,,Whitecherry Spinner,,‚¹939,0MP,1.1 MHz,,,,,128 x 160$$Pixels
762,Yes,1000,,,64 MB,Dedicated Slot,,I Kall K3310,,‚¹599,0.3MP,,,,,,176 x 220 Pixels
763,Yes,2200,,,64 MB,Dedicated Slot,,Gfive Z8 Combo of Two Mobile,0,"‚¹1,664",0.3MP,,,,,,240*320
764,,1800,,,24 MB,,,Micromax X805 Without Charger,,"‚¹1,299",0.03MP,,,,,,320x240
765,Yes,1200,,,64 MB,Dedicated Slot,,1+1=2 D7,0,‚¹569,0.3MP,,,,,,128 x 160$$Pixels
766,Yes,3000,Yes,,64 GB,Hybrid Slot,Yes,HTC Desire 10 Pro ,Android Marshmallow 6,"‚¹17,200",20MP,1.8 GHz,Nano SIM,13MP,"Accelerometer, Finger Print Sensor, Gyro, Proximity Sensor, Compass",165 g,1080 x 1920 Pixels
767,Yes,2000,,,32 MB,Dedicated Slot,,Mtech L10,,"‚¹1,199",0.08MP,,Normal SIM,,,,320 x 240 Pixels
768,Yes,2300,,,8 GB,Dedicated Slot,,Karbonn K9 Smart Grand ,Android Nougat 7,"‚¹5,299",8MP,1.25 GHz,Micro SIM,,,,480 x 854 Pixels
769,,1750,,,32 MB,Dedicated Slot,,Do M10,,‚¹899,0.3MP,,,,,,240 x 320$$Pixels
770,Yes,1020,,,4 MB,Dedicated Slot,,Nokia 150,,"‚¹1,998",0.3MP,,Micro SIM,,,81 g,240 x 320 Pixels
771,Yes,2500,Yes,,16 GB,Hybrid Slot,Yes,ZOPO Color - X5.5 ,Android Marshmallow 6.0,"‚¹6,390",8MP,1.3 GHz,Micro SIM and Nano SIM,5MP,"Gravity, Accelerometer (3 axis), Range, Light",166 g,1280 x 720$$Pixels
772,Yes,950,,,64 MB,Dedicated Slot,,Gfive U229,0,‚¹529,0.3MP,,,,,,128 x 160$$Pixels
773,,1800,,,32 MB,Dedicated Slot,,Gfive M22,No,"‚¹1,099",1.3MP,1.2 MHz,,,,,320 x 400$$Pixels
774,Yes,1000,,,32 MB,Dedicated Slot,,Mtech G17,,‚¹799,0.3MP,,,,,,128 x 160 Pixels
775,,3500,Yes,,64 GB,,,Lenovo Z2 Plus ,Android Marshmallow 6.0.1,"‚¹12,990",13MP,2.15 GHz,Nano SIM,8MP,"Gyro Sensor, E-compass, Accelerometer, Light Sensor, Hall Sensor, Pedometer, Finger Print Sensor",149 g,1920 x 1080 pixels
776,Yes,800,,,,Dedicated Slot,,XCCESS X490,,‚¹745,0.3MP,1 MHz,,,,70 g,128 x 160 Pixels
777,,850,,,64 MB,Dedicated Slot,,Mezire M-3310,0,‚¹692,0.3MP,1.2 MHz,,,,,176 x 220$$Pixels
778,,2620,Yes,,32 GB,Dedicated Slot,,Sony Xperia R1 Plus Dual ,Android Nougat 7,"‚¹12,490",13MP,2.4 GHz,Nano SIM,8MP,,154 g,1280 x 720 Pixels
779,Yes,2900,Yes,,16 GB,,,InFocus M812 ,Android Lollipop 5,"‚¹9,409",13MP,2.5 GHz,,8MP,"Accelerometer, Compass, Gyro-sensor",,1920 x 1080 Pixels
780,Yes,950,,,64 MB,Dedicated Slot,,GLX W5 Combo of Two Mobiles,0,"‚¹1,119",0.3MP,,,,,,128 x 160$$Pixels
781,,2000,,,8 GB,,,Micromax Canvas Amaze ,Android Lollipop 5.1,"‚¹6,990",13MP,1.3 GHz,,,,,1280 x 720 Pixels
782,Yes,2500,Yes,,16 GB,Hybrid Slot,Yes,ZOPO Color - X5.5 ,Android Marshmallow 6.0,"‚¹6,390",8MP,1.3 GHz,Micro SIM and Nano SIM,5MP,"Gravity, Accelerometer (3 axis), Range, Light",166 g,1280 x 720$$Pixels
783,Yes,2200,,,64 MB,Dedicated Slot,,1+1=2 D4,0,‚¹729,0.3MP,,,,,,240 x 320$$Pixels
784,Yes,1000,,,32 MB,Dedicated Slot,,Karbonn K9 Staar,,‚¹903,0.08MP,1 MHz,Standard SIM,,,,240 x 320$$Pixels
785,Yes,3000,Yes,Adreno 308,16 GB,Dedicated Slot,,Redmi 5A ,Android Nougat 7.1.2,"‚¹5,999",13MP,1.4 GHz,Dual Nano SIM,5MP,"Infrared, Accelerometer, Proximity Sensor, Ambient Light Sensor",137 g,1280 x 720 Pixels
786,,4000,,,64 GB,Dedicated Slot,,Lenovo K8 Note ,Android Nougat 7.1.1,"‚¹12,990",13MP + 5MP,2.3 GHz,Dual nano SIM,13MP,"Accelerometer,Ambient Light Sensor,e-compass,Gyroscope,Proximity Sensor,Fingerprint sensor",,1920 x 1080 Pixels
787,,,Yes,,64 GB,,,Apple iPhone 8 Plus ,iOS iOS 11,"‚¹66,999",12MP + 12MP,,Nano SIM,7MP,"Touch ID Fingerprint Sensor Built into the Home Button, Barometer, Three-axis Gyro, Accelerometer, Proximity Sensor, Ambient Light Sensor",202 g,1920 x 1080 Pixels
788,,2200,Yes,,16 GB,Dedicated Slot,,Panasonic P100 ,Android Nougat 7.0,"‚¹5,299",8MP,1.25 GHz,Micro SIM and Micro SIM,5MP,"Accelerometer, Proximity Sensor, Ambient Light Sensor, Fingerprint Sensor",174.8 g,1280 x 720 Pixels
789,,850,,,32 MB,Dedicated Slot,,Callbar B3310,No,‚¹649,0.3MP,1 MHz,,,,,320 x 480$$Pixels
790,,800,,,32 MB,Dedicated Slot,,Lava CaptainN1 Lite,,‚¹799,0MP,,Full Size Sim,,,52 g,120 x 160$$Pixels
791,,850,,,256 MB,Hybrid Slot,,Kechaoda K66,,‚¹814,,1.2 GHz,,,,,320 x 480 Pixels
792,Yes,3000,Yes,,32 KB,Dedicated Slot,,Lava KKT 40 Power Plus,,"‚¹1,599",1.3MP,1 GHz,,,,121 g,240x320 Pixels
793,Yes,1500,,,8 GB,Dedicated Slot,,Karbonn A1 INDIAN 4G with VoLTE ,Android Nougat 7.0,"‚¹2,981",3.2MP,1.1 GHz,Micro SIM,2MP,,116 g,800 x 480 Pixels
794,Yes,2000,,,32 MB,Dedicated Slot,,Aqua Neo pro,0,‚¹845,1.3MP,312 MHz,Full SIM,,,,320 x 240$$Pixels
795,Yes,800,,,32 KB,Dedicated Slot,,Lava Captain 4i,,‚¹889,0.3MP,1 GHz,,,,57 g,120 x 160 Pixels
796,Yes,3000,Yes,Mali-T720,16 GB,Dedicated Slot,,Swipe Elite Note 4G ,Android Marshmallow 6.0,"‚¹5,799",13MP,1.3 GHz,Micro SIM,5MP,"Accelerometer, Proximity Sensor, Light Sensor, G-Sensor, Magnetic sensor",194 g,1280 x 720 Pixels
797,,1000,,,256 MB,Dedicated Slot,,Gfive U220+,,‚¹570,0.3MP,,,,,,240 x 320 Pixels
798,Yes,1700,,,32 MB,,,Mtech M15 PRO,,"‚¹1,349",0.3MP,,Normal,,,13.15 g,240 X 320 Pixels
799,Yes,1600,,,1 GB,,,Intex Aqua 4.5E ,Android KitKat 4.4.2,"‚¹2,370",5MP,1.3 GHz,,2MP,,137 g,480 x 854 Pixels
800,Yes,3000,Yes,ARM Mali-T720 MP1,16 GB,Dedicated Slot,,Xolo ERA 3X ,Android Nougat 7.0,"‚¹6,999",13MP,1.25 GHz,Micro SIM,13MP,"G-Sensor, Proximity Sensor, Ambient Light Sensor",170 g,720 x 1280 Pixels
801,,5000,Yes,,32 GB,Hybrid Slot,,Panasonic Eluga A4 ,Android Nougat 7,"‚¹8,145",13MP,1.25 GHz,Nano SIM and Nano SIM,5MP,"Accelerometer, Proximity Sensor, Ambient Light, Fingerprint Sensor",162 g,1280 x 720 Pixels
802,Yes,850,,,256 MB,Dedicated Slot,,Peace Knight,,‚¹558,0.3MP,1 MHz,,,,,320 x 240 Pixels
803,Yes,1500,,,1 MB,,,Karbonn K59 Dual Sim - Yellow & Black,,"‚¹1,399",1.3MP,,Micro SIM,,,120 g,320 x 240 pixels
804,Yes,3000,Yes,,32 GB,Dedicated Slot,Yes,Honor 8,Android Marshmallow 6,"‚¹17,999",12MP + 12MP,2.3 GHz,Nano SIM,8MP,"Accelerometer, Proximity Sensor, Ambient Light Sensor, Gyroscope, Compass, Hall Sensor, Fingerprint Sensor",153 g,1920 x 1080
805,Yes,2700,,,16 GB,Dedicated Slot,,Celkon Diamond Mega 4G ,Android Marshmallow 6.0,"‚¹5,499",8MP,1.3 GHz,Micro SIM,5MP,,,5 megapixels
806,Yes,2350,Yes,,32 GB,Hybrid Slot,,Panasonic Eluga Turbo ,Android Lollipop 5.1,"‚¹8,299",13MP,1.3 GHz,,5MP,"Proximity Sensor, Light Sensor, G-sensor",145 g,1280 x 720 Pixels
807,,2500,Yes,,32 GB,Hybrid Slot,,Panasonic Eluga I9 ,Android Nougat 7.0,"‚¹7,499",13MP,1.25 GHz,Micro SIM and Nano SIM,5MP,"Accelerometer, Proximity Sensor, Ambient Light, Fingerprint Sensor",143 g,1280 x 720 Pixels
808,,5000,Yes,,32 GB,Hybrid Slot,,Panasonic Eluga A4 ,Android Nougat 7,"‚¹8,150",13MP,1.25 GHz,Nano SIM and Nano SIM,5MP,"Accelerometer, Proximity Sensor, Ambient Light, Fingerprint Sensor",162 g,1280 x 720 Pixels
809,Yes,1000,,,32 MB,Dedicated Slot,,Aqua Maze,0,‚¹678,0.08MP,312 MHz,Full Size SIM,,,70 g,240 x 320 pixels
810,,1400,,,160 MB,,,Karbonn K-Phone 1,-,"‚¹1,135",1.3MP,400 MHz,,,,,320*240 pixels
811,Yes,2200,Yes,Mali-T720 MP2,8 GB,Dedicated Slot,,Honor Bee 4G ,Android Lollipop 5.1,"‚¹5,990",8MP,1.3 GHz,Micro SIM,2MP,"Proximity Sensor, Accelerometer, Light Sensor",,720 x 1280$$Pixels
812,Yes,2800,,,30 KB,Hybrid Slot,,JIVI N3000,,"‚¹1,280",0.3MP,,Normal SIM,,,110 g,160 x 128 Pixels
813,Yes,2000,Yes,,16 GB,Dedicated Slot,,Kara Mega 4 ,Android Marshmallow 6,"‚¹4,299",8MP,1.3 GHz,,2MP,,,1280 x 720 Pixels
814,Yes,3000,Yes,Mali-400,16 GB,Dedicated Slot,,iVooMi Me5 - 4G VoLTE ,Android Nougat 7,"‚¹4,499",8MP,1.2 GHz,Micro SIM,5MP,"G-Sensor, Proximity Sensor",130 g,1280 x 720 Pixels
815,Yes,3000,,,64 MB,Dedicated Slot,,Gfive G9 Combo of Two Mobile,0,"‚¹2,060",0.3MP,,,,,,240*320
816,,1500,,,30 MB,,,Reach Champ + Selfie Black Yellow,,‚¹850,0.3MP,,,,,0.95 g,320 x 240 Pixels
817,Yes,2500,Yes,,16 GB,Dedicated Slot,,Lava Z70 ,Android Nougat 7.0,"‚¹7,249",8MP,1.3 GHz,Micro SIM,5MP,Advanced Fingerprint sensor with App Encryption,140 g,1280 x 720$$Pixels
818,,600,,,32 MB,Dedicated Slot,,Chilli A 111,,‚¹899,1.3MP,,,,,,220 x 180$$Pixels
819,Yes,2600,,,16 GB,Hybrid Slot,,InFocus M535 ,Android Lollipop 5.1,"‚¹8,265",13MP,1.5 GHz,,8MP,,,1280 x 720 Pixels
820,,1000,,,64 MB,Dedicated Slot,,Trio T3 Neo,,‚¹699,1.3MP,,Normal SIM,,,110 g,128 x 160 Pixels
821,,1750,,,32 MB,Dedicated Slot,,Do M10,,‚¹899,0.3MP,,,,,,240 x 320$$Pixels
822,,1020,,,4 MB,Dedicated Slot,,Nokia 150,,"‚¹1,988",0.3MP,,,,,,240 x 320 Pixels
823,Yes,1800,,,10 MB,Dedicated Slot,,BlackZone TURBO,,‚¹849,1.3MP,1 MHz,All Ty,,,,320 x 240$$Pixels
824,Yes,2800,,,30 KB,Hybrid Slot,,JIVI X111,,‚¹965,0.3MP,,Normal SIM,,,100 g,240 x 320 Pixels
825,,1800,,,32 MB,Dedicated Slot,,Gfive M22,No,"‚¹1,099",1.3MP,1.2 MHz,,,,,320 x 400$$Pixels
826,Yes,1000,,,32 MB,Dedicated Slot,,Mtech G17,,‚¹799,0.3MP,,Normal SIM,,,,128 x 160 Pixels
827,Yes,950,,,64 MB,Dedicated Slot,,Gfive U229 Combo of Three Mobile,0,"‚¹1,659",0.3MP,,,,,,128 x 160$$Pixels
828,,2500,,,16 GB,Hybrid Slot,,Coolpad Note 5 Lite ,Android Marshmallow 6.0,"‚¹7,190",13MP,1.2 GHz,,8MP,,,1280 x 720 Pixels
829,Yes,1800,,,30 KB,Hybrid Slot,,JIVI X606,,‚¹879,0.3MP,,Normal SIM,,,100 g,169x128 Pixels
830,,2000,,,16 GB,Dedicated Slot,,Micromax Canvas 5 Lite ,Android Lollipop 5.1,"‚¹4,475",8MP,1.0 GHz,,,,,1280 x 720 Pixels
831,,1800,,,24 MB,,,Micromax X805,0,"‚¹1,399",0.03MP,,,,,,320x240
832,Yes,950,,,64 MB,Dedicated Slot,,GLX W5 Combo of Two Mobiles,0,"‚¹1,119",0.3MP,,,,,,128 x 160$$Pixels
833,Yes,3600,,,1 MB,Dedicated Slot,,JIVI Sumo T3000,,"‚¹1,442",0.3MP,,,,,,240 x 320 Pixels
834,Yes,1200,,,64 MB,Dedicated Slot,,1+1=2 D1 Dual Sim Combo of Two Mobile,0,"‚¹1,119",0.3MP,,,,,,128 x 160$$Pixels
835,,2000,,,8 GB,,,Micromax Canvas Amaze ,Android Lollipop 5.1,"‚¹6,990",13MP,1.3 GHz,,,,,1280 x 720 Pixels
836,,2200,Yes,,16 GB,Dedicated Slot,,Panasonic P100 ,Android Nougat 7.0,"‚¹5,999",8MP,1.25 GHz,Micro SIM and Micro SIM,5MP,"Accelerometer, Proximity Sensor, Ambient Light Sensor, Fingerprint Sensor",174.8 g,1280 x 720 Pixels
837,Yes,2000,Yes,,8 GB,Hybrid Slot,,Samsung Galaxy J2-2017 ,Android Lollipop 5.4.1,"‚¹6,590",5.0MP,1.3 GHz,Micro SIM (3FF),2.0MP,"Accelerometer, Proximity Sensor",130 g,540 x 960 Pixels
838,,2620,Yes,,32 GB,Dedicated Slot,,Sony Xperia R1 Plus Dual ,Android Nougat 7,"‚¹12,490",13MP,2.4 GHz,Nano SIM,8MP,,154 g,1280 x 720 Pixels
839,,2200,,,8 GB,Dedicated Slot,,I Kall K-2 ,Android Marshmallow 6.0,"‚¹3,899",5MP,1.3 GHz,Micro SIM,,,,854 x 480$$Pixels
840,,800,,,32 MB,Dedicated Slot,,Micromax X412,,‚¹747,0.3MP,1.2 MHz,,,,,128 x 160$$Pixels
841,,1400,,,256 MB,Dedicated Slot,,Microkey F11,,‚¹590,2MP,1 MHz,,,,,320 x 240$$Pixels
842,,2620,Yes,,32 GB,Dedicated Slot,,Sony Xperia R1 Plus Dual ,Android Nougat 7,"‚¹12,490",13MP,2.4 GHz,Nano SIM,8MP,,154 g,1280 x 720 Pixels
843,,950,,,64 MB,Dedicated Slot,,Gfive U707,0,‚¹669,0.3MP,,Normal SIM,,,,128 x 160$$Pixels
844,,1050,,,256 MB,Dedicated Slot,,Gfive Guru,,‚¹570,0.3MP,,,,,,320 x 240 Pixels
845,Yes,3930,Yes,Adreno 506,64 GB,Hybrid Slot,,Yu Yureka 2 ,Android Marshmallow 6.0,"‚¹11,999",16MP,2.0 GHz,Micro SIM and Nano SIM,8MP,"Fingerprint Sensor, Gravity Sensors, Proximity Sensor, Light Sensor, Accelerometer, Geomagnetic",,1920 x 1080 Pixels
846,,2620,Yes,,32 GB,Dedicated Slot,,Sony Xperia R1 Plus Dual ,Android Nougat 7,"‚¹12,490",13MP,2.4 GHz,Nano SIM,8MP,,154 g,1280 x 720 Pixels
847,,2620,Yes,,32 GB,Dedicated Slot,,Sony Xperia R1 Plus Dual ,Android Nougat 7,"‚¹12,490",13MP,2.4 GHz,Nano SIM,8MP,,154 g,1280 x 720 Pixels
848,Yes,2750,Yes,PowerVR GT7600 (Six-core Graphics),32 GB,,Yes,Apple iPhone 6s Plus ,iOS 9,"‚¹40,779",12MP,1.84 GHz,Nano Sim,5MP,"Touch ID Fingerprint Sensor, Barometer, Three-axis Gyro Sensor, Accelerometer, Proximity Sensor, Ambient Light Sensor, Digital Compass",192 g,1080 x 1920 Pixels
849,,4000,Yes,,32 GB,Hybrid Slot,,Panasonic Eluga Ray 500 ,Android Nougat 7,"‚¹8,999",13MP + 8MP,1.25 GHz,Nano SIM and Nano SIM,5MP,"Accelerometer, Proximity Sensor, Ambient Light Sensor, Fingerprint Sensor",163 g,1280 x 720 Pixels
850,,2620,Yes,,16 GB,Dedicated Slot,,Sony Xperia R1 Dual ,Android Nougat 7,"‚¹10,490",13MP,2.4 GHz,Nano SIM,8MP,,154 g,1280 x 720 Pixels
851,,1000,,,64 MB,Dedicated Slot,,I Kall K11 with MP3/FM Player Neckband,0,‚¹799,0.3MP,,,,,,128 x 160 Pixels
852,,4100,,,8 GB,Hybrid Slot,,Nokia 2 ,Android Nougat 7.1.1,"‚¹6,278",8MP,1.3 GHz,,,,,1280 x 720$$Pixels
853,Yes,1000,,,32 KB,,Yes,JIVI 12M,,‚¹689,0MP,,Normal,,,95 g,169 X 128 Pixel
854,,850,,,64 MB,Dedicated Slot,,Peace Knight,,‚¹590,0.3MP,1 MHz,,,,,220 x 176 Pixles
855,Yes,2000,Yes,,8 GB,,,Intex Aqua Q7 ,Android Lollipop 5.1,"‚¹2,999",2MP,1.2 GHz,Micro SIM,0.3MP,Gravity sensor,106 g,480 x 854 Pixels
856,,2620,Yes,,32 GB,Dedicated Slot,,Sony Xperia R1 Plus Dual ,Android Nougat 7,"‚¹12,490",13MP,2.4 GHz,Nano SIM,8MP,,154 g,1280 x 720 Pixels
857,,2620,Yes,,32 GB,Dedicated Slot,,Sony Xperia R1 Plus Dual ,Android Nougat 7,"‚¹12,490",13MP,2.4 GHz,Nano SIM,8MP,,154 g,1280 x 720 Pixels
858,Yes,3000,Yes,Gfx 6 Series,64 GB,,Yes,Asus Zenfone Zoom ,Android Lollipop 5,"‚¹14,999",13MP,2.5 GHz,Micro SIM,5MP,"Accelerometer, eCompass, Proximity Sensor, Ambient Light Sensor, Hall Sensor, Gyro Sensor",185 g,1920 x 1080 Pixels
859,,2620,Yes,,16 GB,Dedicated Slot,,Sony Xperia R1 Dual ,Android Nougat 7,"‚¹10,490",13MP,2.4 GHz,Nano SIM,8MP,,154 g,1280 x 720 Pixels
860,,1400,,,256 MB,Dedicated Slot,,Microkey F11,,‚¹590,2MP,1 MHz,,,,,320 x 240$$Pixels
861,Yes,3000,Yes,Adreno 506 at 650 MHz,32 GB,Dedicated Slot,Yes,Moto G5 Plus ,Android Nougat 7,"‚¹14,990",12MP,2 GHz,Nano SIM,5MP,"Fingerprint Reader, Accelerometer, Gyroscope, Ambient Light, Proximity",155 g,1920 x 1080 pixels
862,Yes,2850,Yes,Mali-T860MP2,64 GB,,,OPPO F1 Plus ,Android Lollipop 5.1,"‚¹18,990",13MP,2 GHz,Nano,16MP,"Fingerprint, Accelerometer, Proximity, Compass",145 g,1080 x 1920
863,Yes,1350,,,10 MB,Dedicated Slot,,Kara Bright,,‚¹699,0.3MP,1 MHz,Normal SIM,0.3MP,,,320 x 240$$Pixels
864,,1800,,,1 MB,,,Iball 1.8G Rajah,,‚¹899,0.3MP,,,,,,160 x 240 Pixels
865,Yes,2000,,,8 GB,Dedicated Slot,,LYF C459 ,Android Marshmallow 6.0.1,"‚¹3,899",8MP,1.3 GHz,Micro SIM,2MP,"Gyroscope, Ambient Light Sensor, Accelerometer, Proximity Sensor",139 g,480 x 854 Pixels
866,,2620,Yes,,32 GB,Dedicated Slot,,Sony Xperia R1 Plus Dual ,Android Nougat 7,"‚¹12,490",13MP,2.4 GHz,Nano SIM,8MP,,154 g,1280 x 720 Pixels
867,,1900,,,NA MB,,,ITEL IT 7100,,"‚¹1,775",1.3MP,,,,,,360 x 480$$Pixels
868,Yes,1000,,,10 KB,Dedicated Slot,,Poya P2,0,‚¹649,0.3MP,,Regular SIM,,,,320 x 240 Pixels
869,Yes,1200,,,64 MB,Dedicated Slot,,1+1=2 D2,0,‚¹569,0.3MP,,,,,,128 x 160$$Pixels
870,Yes,1700,No,,,,No,Mtech G9,,"‚¹1,010",0.08MP,,NORMAL,,,11 g,240 x 320 Pixels
871,,2500,,,8 GB,Dedicated Slot,,Zen Admire Dragon ,Android Marshmallow 6,"‚¹4,649",5MP,1.3 GHz,,,,,854 x 480 Pixels
872,Yes,3000,,,,Dedicated Slot,,Zen Power 102,,"‚¹1,035",1.3MP,,,,,110 g,128 x 160 Pixels
873,,1750,,,32 MB,Dedicated Slot,,Do M10,,‚¹899,0.3MP,,,,,,240 x 320$$Pixels
874,Yes,800,,,,,,Samsung Guru FM Plus SM-B110E/D,0v,"‚¹1,375",0MP,,Full Size SIM,,,66 g,128 x 128 Pixels
875,Yes,800,,,,Dedicated Slot,,Melbon MB 607,,‚¹550,0.3MP,,Full Size Sim,,,110 g,128 x160 Pixels
876,Yes,2800,,,30 KB,Hybrid Slot,,JIVI X111,,"‚¹1,099",0.3MP,,Normal SIM,,,100 g,240 x 320 Pixels
877,,1800,,,32 MB,Dedicated Slot,,Gfive M22,No,"‚¹1,099",1.3MP,1.2 MHz,,,,,320 x 400$$Pixels
878,Yes,1500,,,32 MB,Dedicated Slot,,Tork T12,,‚¹849,0.3MP,,Normal SIM,,,,320 x 240 Pixels
879,,1800,,,24 MB,,,Micromax X805 Without Charger,,"‚¹1,299",0.03MP,,,,,,320x240
880,Yes,1200,,,64 MB,Dedicated Slot,,1+1=2 D2,0,‚¹569,0.3MP,,,,,,128 x 160$$Pixels
881,Yes,2800,Yes,,32 GB,Dedicated Slot,Yes,HTC Desire 830 ,Android Marshmallow 6,"‚¹12,249",13MP,1.5 GHz,Nano SIM,2MP,"Ambient Light Sensor, Proximity Sensor, Motion G-sensor, Compass Sensor, Magnetic Sensor, Sensor Hub, BSI Sensor",155 g,1920 x 1080
