ID,3.5mm jack,Battery,GPS Support,GPU,Internal Storage,Card slot,NFC,Name,OS,Price,Primary Camera,Clock Speed,SIM,Secondary Camera,Sensors,Weight,Resolution
229,Yes,1500,,,32 MB,Dedicated Slot,,Reach Champ FM,,‚¹849,0.3MP,,Normal SIM,,,,320 x 240 Pixels
230,,3000,,,30 KB,Dedicated Slot,,Mafe Energy,,‚¹999,0.3MP,,Regular SIM,,,,160 x 128$$Pixels
231,Yes,4000,Yes,Qualcomm Adreno 510,64 GB,Dedicated Slot,,Samsung Galaxy C9 Pro ,Android Marshmallow 6,"‚¹29,900",16MP,1.95 GHz,Nano SIM (4FF),16MP,"Accelerometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Proximity Sensor, RGB Light Sensor",189 g,1920 x 1080 pixels
232,Yes,2000,,,32 MB,Dedicated Slot,,Mtech L10,,"‚¹1,199",0.08MP,,Normal SIM,,,,320 x 240 Pixels
233,Yes,2500,Yes,Yes,8 GB,Dedicated Slot,No,Reach Allure Admire 4G VoLTE ,Android Nougat 7.0,"‚¹3,610",8MP,1.3 GHz,Micro SIM,2MP,G-sensor,,854 x 480 Pixels
234,,1800,,,32 MB,Dedicated Slot,,Winstar D555+,,‚¹999,0.3MP,1.2 MHz,Micro SIM,,,,320 x 240$$Pixels
235,Yes,4000,Yes,A304 at 400 MHz,8 GB,Dedicated Slot,,Micromax Vdeo 4 ,Android Marshmallow 6,"‚¹6,248",8MP,1.1 GHz,Micro SIM and Micro SIM,2MP,"Gravity Sensors, Proximity Sensor, Light Sensor, Accelerometer",,1280 x 720 pixels
236,,800,,,32 MB,Dedicated Slot,,Zen Atom 103,,‚¹839,1.3MP,312 MHz,,,,,120 x 160 Pixels
237,,3000,Yes,,16 GB,Dedicated Slot,,OPPO A71 New Edition ,Android Nougat 7.1,"‚¹9,990",13MP,1.8 GHz,Nano SIM and Nano SIM,5MP,"Proximity Sensor, Light Sensor, Accelerator Sensor, E-compass",137 g,1280 x 720 Pixels
238,Yes,3000,Yes,,16 GB,Dedicated Slot,,Samsung Galaxy J7 Nxt ,Android Nougat 7.0,"‚¹9,990",13MP,1.6 GHz,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g,1280 x 720 Pixels
