,Unnamed: 0,3.5mm jack,Battery,Card slot,Clock Speed,GPS Support,GPU,ID,Internal Storage,NFC,Name,OS,Price,Primary Camera,Resolution,SIM,Secondary Camera,Sensors,Weight
143,53,Yes,3000.0,Dedicated Slot,1.6 GHz,Yes,,53,16 GB,,"Samsung Galaxy J7 Nxt (Black, 16 GB)  (2 GB RAM)",Android Nougat 7,,13MP,1280 x 720 Pixels,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g
144,125,Yes,3000.0,Dedicated Slot,1.6 GHz,Yes,,125,32 GB,,"Samsung Galaxy J7 Nxt (Gold, 32 GB)  (3 GB RAM)",Android Nougat 7,,13MP,1280 x 720 Pixels,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g
145,147,Yes,3000.0,Dedicated Slot,1.6 GHz,Yes,,147,32 GB,,"Samsung Galaxy J7 Nxt (Gold, 32 GB)  (3 GB RAM)",Android Nougat 7,,13MP,1280 x 720 Pixels,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g
146,183,Yes,3600.0,Dedicated Slot,1.9 GHz,Yes,,183,32 GB,Yes,"Samsung Galaxy A7-2017 (Black Sky, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,16MP,1920 x 1080 pixels,Nano SIM,16MP,"Accelerometer, Barometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Proximity Sensor, RGB Light Sensor",
147,184,Yes,3000.0,Dedicated Slot,1.6 GHz,Yes,,184,32 GB,,"Samsung Galaxy J7 Nxt (Black, 32 GB)  (3 GB RAM)",Android Nougat 7,,13MP,1280 x 720 Pixels,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g
148,195,Yes,800.0,,208 MHz,,,195,,,Samsung Guru Music 2  (Blue),,,,128 x 160 Pixels,,,,74.98 g
149,205,Yes,1300.0,Dedicated Slot,1.5 GHz,Yes,Mali-400 512 MHz,205,4 GB,,"Micromax Bharat 2 Ultra (Black, 4 GB)  (512 MB RAM)",Android Marshmallow 6.0,,2MP,480 x 800 Pixels,Micro SIM and Normal SIM,0.3MP,Gravity Sensors,120 g
150,238,Yes,3000.0,Dedicated Slot,1.6 GHz,Yes,,238,16 GB,,"Samsung Galaxy J7 Nxt (Gold, 16 GB)  (2 GB RAM)",Android Nougat 7.0,,13MP,1280 x 720 Pixels,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g
151,292,Yes,3000.0,Hybrid Slot,2.7 GHz,,ARM Heimdall MP18,292,64 GB,Yes,"Samsung Galaxy S9 (Lilac Purple, 64 GB)  (4 GB RAM)",Android Oreo 8,,12MP,2960 x 1440 Pixels,Nano SIM,8MP,,163 g
152,305,Yes,2600.0,Dedicated Slot,1.5 GHz,,,305,16 GB,,"Samsung Galaxy J2 Pro (Gold, 16 GB)  (2 GB RAM)",Android Marshmallow 6.0.1,,8MP,1280 x 720 Pixels,Micro SIM,5MP,"Accelerometer Sensor, Proximity Sensor",
153,345,Yes,3000.0,Dedicated Slot,1.6 GHz,Yes,,345,32 GB,,"Samsung Galaxy J7 Nxt (Gold, 32 GB)  (3 GB RAM)",Android Nougat 7,,13MP,1280 x 720 Pixels,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g
