ID,3.5mm jack,Battery,Clock Speed,Card slot,GPS Support,GPU,Internal Storage,NFC,Name,OS,Price,Primary Camera,Resolution,SIM,Secondary Camera,Sensors,Weight
830,No,1340,528 MHz ARM 11,microSD (dedicated slot),Yes,Adreno 130,"288 MB RAM, 512 MB ROM",,HTC Touch Pro,Microsoft Windows Mobile 6.1 Professional,About 200 EUR,"3.15 MP, autofocus, LED flash","480 x 640 pixels, 4:3 ratio (~286 ppi density)",Mini-SIM,VGA videocall camera,Accelerometer,165 g (5.82 oz)
831,No,1500,,"microSD, up to 8 GB (dedicated slot)",Yes,,128 MB,,Nokia 6790 Surge,"Symbian, S60 rel. 3.2",About 90 EUR,2 MP,"320 x 240 pixels, 4:3 ratio (~167 ppi density)",Mini-SIM,No,,123.9 g (4.34 oz)
832,No,760,,No,No,,725 KB,,Nokia 6100,,,,"128 x 128 pixels, 8 lines, 1:1 ratio (~121 ppi density)",Mini-SIM,,,76 g (2.68 oz)
833,Yes,1600,Quad-core 1.3 GHz,"microSD, up to 32 GB",Yes,,"8 GB, 1 GB RAM",,Micromax Vdeo 1,Android 6.0 (Marshmallow),About 60 EUR,"5 MP, autofocus, LED flash","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Dual SIM,2 MP,Accelerometer,-
834,Yes,800,,"microSD, up to 16 GB (dedicated slot)",No,,50 MB,,Samsung C3560,,About 50 EUR,2 MP,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",Mini-SIM,No,,84 g (2.96 oz)
835,Yes,960,,"microSD, up to 16 GB (dedicated slot)",No,,78 MB,,Samsung S5560 Marvel,,About 120 EUR,"5 MP, autofocus, LED flash","240 x 400 pixels, 5:3 ratio (~155 ppi density)",Mini-SIM,No,Accelerometer,96 g (3.39 oz)
836,No,700,,No,No,,,,Motorola C205,,,,"98 x 64 pixels, 5 lines, 3:2 ratio",Mini-SIM,,,84 g (2.96 oz)
837,No,940,,"microSD, up to 2 GB (dedicated slot)",No,,50 MB,,Motorola RAZR maxx V6,,About 140 EUR,"2 MP, LED flash","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Mini-SIM,VGA videocall camera,,105 g (3.70 oz)
838,Yes,1550,,"microSD, up to 4 GB (dedicated slot)",No,,,,Celkon C550,,,1.3 MP,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Dual SIM (Mini-SIM),No,,82 g (2.89 oz)
839,No,850,,"microSD, up to 8 GB (dedicated slot)",No,,80 MB,,alcatel OT-808,,About 70 EUR,2 MP,"320 x 240 pixels, 4:3 ratio (~167 ppi density)",Mini-SIM,No,,113 g (3.99 oz)
840,Yes,3000,Quad-core 1.45 GHz Cortex-A53,"microSD, up to 128 GB",Yes,Mali-T720MP2,"16/32 GB, 2 GB RAM",Yes,alcatel 3v,Android 8.0 (Oreo),About 190 EUR,"Dual: 12 MP (f/2.2, 1/2.8"", 1.25 Î¼m, PDAF) + 2 MP (f/2.4, 1/5"", FF), phase detection autofocus, LED flash","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","5 MP, LED flash","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",155 g (5.47 oz)
841,No,800,,No,No,,,,Samsung X200,,,,"128 x 160 pixels, 8 lines",Mini-SIM,,,77 g (2.72 oz)
842,No,650,,No,No,,,,alcatel OT Max db,,,,3 lines,Mini-SIM,,,150 g (5.29 oz)
843,Yes,2840,Octa-core 2.0 GHz Cortex-A53,"microSD, up to 256 GB (dedicated slot)",Yes,PowerVR G6200,"16 GB, 2 GB RAM",Yes,HTC One S9,Android 6.0 (Marshmallow),About 210 EUR,"13 MP (f/2.0, 28mm), autofocus, OIS, dual-LED dual-tone flash","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Nano-SIM,"4 MP (f/2.0, 27mm, 1/3"", 2 Âµm), 1080p@30fps, HDR","Accelerometer, gyro, proximity, compass",158 g (5.57 oz)
844,Yes,2020,Quad-core 1.5 GHz Krait,No,Yes,Adreno 320,"16 GB (11 GB user available), 2 GB RAM",Yes,HTC DROID DNA,"Android 4.1 (Jelly Bean), planned upgrade to 4.2 (Jelly Bean)",About 280 EUR,"8 MP, autofocus, LED flash","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Micro-SIM,"2.1 MP, 1080p@30fps","Accelerometer, gyro, proximity, compass",141.7 g (4.97 oz)
845,No,760,,No,No,,,,Nokia 5140,,,VGA,"128 x 128 pixels, 5 lines, 1:1 ratio (~121 ppi density)",Mini-SIM,No,"Compass, thermometer, sound level meter",100 g (3.53 oz)
846,Yes,4000,Dual-core 1.2 GHz Cortex-A9,"microSD, up to 32 GB (dedicated slot)",Yes,Mali-400MP4,"16/32 GB, 1 GB RAM",,Samsung P6210 Galaxy Tab 7.0 Plus ,"Android 3.2 (Honeycomb), upgradable to 4.1 (Jelly Bean)",About 260 EUR,"3.15 MP, autofocus, LED flash","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",No,2 MP,"Accelerometer, gyro, compass",345 g (12.17 oz)
847,Yes,2050,Quad-core 1.5 GHz,"microSD, up to 128 GB (uses SIM 2 slot)",Yes,,"8 GB, 1 GB RAM",,Samsung Z4,Tizen 3.0,About 80 EUR,"5 MP, f/2.2, dual-LED flash","480 x 800 pixels, 5:3 ratio (~207 ppi density)","Single SIM (Micro-SIM) or Hybrid Dual SIM (Micro-SIM, dual stand-by)","5 MP, f/2.2, LED flash","Accelerometer, proximity",143 g (5.04 oz)
848,Yes,800,,"microSD, up to 32 GB (dedicated slot)",No,,10 MB,,Nokia 111,,About 50 EUR,VGA,128 x 160 pixels (~114 ppi density),Mini-SIM,No,,77 g (2.72 oz)
849,Yes,3200,Dual-core 1.7 GHz Krait 300,"microSD, up to 64 GB (dedicated slot)",Yes,Adreno 305,"8/16 GB, 1.5 GB RAM",Yes,Samsung Galaxy Mega 6.3 I9200,"Android 4.2.2 (Jelly Bean), upgradable to 4.4.2 (KitKat)",About 300 EUR,"8 MP, f/2.6, autofocus, LED flash, check quality","720 x 1280 pixels, 16:9 ratio (~233 ppi density)",Micro-SIM,1.9 MP,"Accelerometer, gyro, proximity, compass",199 g (7.02 oz)
850,Yes,3000,Octa-core 2.0 GHz Cortex-A53,"microSD, up to 256 GB",Yes,Adreno 506,"32/64 GB, 2/4 GB RAM; 32 GB, 3 GB RAM",Yes,Motorola Moto G5 Plus,"Android 7.0 (Nougat), upgradable to Android 8.0 (Oreo)",About 250 EUR,"12 MP (f/1.7, Dual Pixel PDAF), phase detection autofocus, dual-LED dual-tone flash","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","5 MP, f/2.2","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass (USA model only)",155 g (5.47 oz)
851,No,800,,No,No,,,,Samsung E1125,,About 70 EUR,,"128 x 128 pixels, 1:1 ratio (~119 ppi density)",Mini-SIM,,,96 g (3.39 oz)
852,TBD,1450,,"microSD, up to 16 GB (dedicated slot)",No,,,,Celkon A7,,,2 MP,"240 x 400 pixels, 5:3 ratio (~146 ppi density)",Dual SIM (Mini-SIM),No,,-
853,Yes,2000,Quad-core 1.3 GHz,"microSD, up to 32 GB (dedicated slot) - single-SIM model",Yes,,"8 GB, 1 GB RAM (Single SIM)/ 16 GB, 1 GB RAM (Dual SIM)",Yes,alcatel Idol 2,"Android 4.2 (Jelly Bean), upgradable to 4.4 (KitKat)",About 200 EUR,"8 MP, autofocus, LED flash","540 x 960 pixels, 16:9 ratio (~220 ppi density)",Single SIM or Dual SIM (dual stand-by),2 MP,"Accelerometer, proximity, compass",128 g (4.52 oz)
854,Yes,1650,Dual-core 1.5 GHz,"microSD, up to 32 GB (dedicated slot)",Yes,,,,HTC Ville,Android 4.0 (Ice Cream Sandwich),,"8 MP, autofocus, LED flash","540 x 960 pixels, 16:9 ratio (~256 ppi density)",Mini-SIM,Yes,"Accelerometer, proximity, compass",-
855,Yes,2000,Quad-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB",Yes,Mali-400,"8 GB, 1 GB RAM",,BLU Dash X2,Android 6.0 (Marshmallow),,"8 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Dual SIM (Micro-SIM, dual stand-by)",5 MP,"Accelerometer, proximity",174 g (6.14 oz)
856,Yes,1200,,"microSD, up to 32 GB (dedicated slot)",No,,"64 MB, 32 MB RAM",,Nokia Asha 210,,About 50 EUR,2 MP,"320 x 240 pixels, 4:3 ratio (~167 ppi density)","Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",No,,97.3 g (3.42 oz)
857,No,700,,No,No,,512 KB,,Motorola V291,,,,"128 x 128 pixels, 1:1 ratio",Mini-SIM,,,97 g (3.42 oz)
