ID,3.5mm jack,Battery,Clock Speed,Card slot,GPS Support,GPU,Internal Storage,NFC,Name,OS,Price,Primary Camera,Resolution,SIM,Secondary Camera,Sensors,Weight
1999,No,1480,32-bit Marvell PXA310 624 MHz,microSD (dedicated slot),Yes,,"128 MB RAM, 256 MB ROM",,Samsung i780,Microsoft Windows Mobile 6.0 Professional,About 150 EUR,2 MP,"320 x 320 pixels, 1:1 ratio (~177 ppi density)",Mini-SIM,VGA videocall camera,,120 g (4.23 oz)
2000,Yes,1020,,"microSD, up to 16 GB (dedicated slot), 2 GB included",Yes,,"64 MB RAM, 128 MB ROM",,Nokia 2710 Navigation Edition,,About 90 EUR,2 MP,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",Mini-SIM,No,"Accelerometer, compass",87 g (3.07 oz)
2001,Yes,1450,,"microSD, up to 16 GB (dedicated slot)",No,,,,Celkon A9,,,3.15 MP,"480 x 800 pixels, 5:3 ratio (~267 ppi density)",Dual SIM (Mini-SIM),No,,110 g (3.88 oz)
2002,No,1200,220 MHz ARM926EJ-S,"microSD, up to 4 GB (dedicated slot)",No,,"64 MB RAM,  128 MB ROM",,Samsung i607 BlackJack,Microsoft Windows Mobile 5.0 Smartphone,About 240 EUR,1.3 MP,"320 x 240 pixels, 4:3 ratio (~174 ppi density)",Mini-SIM,No,,105 g (3.70 oz)
2003,No,,,No,No,,,,alcatel OT 735i,,,CIF,"128 x 128 pixels, 11 lines, 1:1 ratio",Mini-SIM,No,,89 g (3.14 oz)
2004,Yes,9500,Octa-core (4x1.9 GHz Cortex-A15 & 4x1.3 GHz Cortex-A7),"microSD, up to 64 GB (dedicated slot)",Yes,Mali-T628 MP6,"32/64 GB, 3 GB RAM",,Samsung Galaxy Note Pro 12.2 3G ,Android 4.4 (KitKat),About 640 EUR,"8 MP, autofocus, LED flash, check quality","2560 x 1600 pixels, 16:10 ratio (~247 ppi density)",Micro-SIM,"2 MP, 1080p@30fps","Accelerometer, gyro, compass",753 g (1.66 lb)
2005,Yes,5700,Octa-core 1.6 GHz Cortex-A53,"microSD, up to 256 GB (dedicated slot)",Yes,Mali-T720MP2,"32/64 GB, 2 GB RAM",,Samsung Galaxy View ,Android 5.1.1 (Lollipop),About 640 EUR,"2.1 MP, f/2.2","1080 x 1920 pixels, 16:9 ratio (~120 ppi density)",Nano-SIM,No,Accelerometer,2.65 kg (5.84 lb)
2006,No,600,,No,No,,,,Motorola Timeport P7389,,,,5 lines,Mini-SIM,,,140 g (4.94 oz)
2007,Yes,,1.0 GHz,No,Yes,,"8 GB, 512 MB RAM",,Nokia 703,Microsoft Windows Phone 7,,"5 MP, LED flash","480 x 800 pixels, 5:3 ratio (~252 ppi density)",Mini-SIM,,"Accelerometer, proximity, compass",114 g (4.02 oz)
2008,Yes,3960,Dual-core 1.2 GHz Cortex-A9,"microSD, up to 32 GB (dedicated slot) - market dependent",Yes,PowerVR SGX540,"16/32 GB, 1 GB RAM",,Motorola XOOM 2 Media Edition MZ607 ,"Android 3.2 (Honeycomb), planned upgrade to 4.0.4 (Ice Cream Sandwich)",About 210 EUR,"5 MP, autofocus, LED flash","800 x 1280 pixels, 16:10 ratio (~184 ppi density)",No,1.3 MP,"Accelerometer, gyro, compass, barometer",386 g (13.62 oz)
2009,Yes,1500,600 MHz Cortex-A8,"microSD, up to 32 GB (dedicated slot)",Yes,PowerVR SGX,"8/16 GB, 256 MB RAM",,Samsung i8910 Omnia HD,Symbian 9.4 Series 60 rel. 5,About 150 EUR,"8 MP, autofocus, LED flash, check quality","360 x 640 pixels, 16:9 ratio (~198 ppi density)",Mini-SIM,CIF videocall camera,"Accelerometer, proximity, compass",148 g (5.22 oz)
2010,Yes,1980,Dual-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)",Yes,Adreno 302,"4 GB, 1 GB RAM",,Motorola Moto E Dual SIM,"Android 4.4.2 (KitKat), upgradable to 5.1 (Lollipop)",About 90 EUR,"5 MP, f/2.4","540 x 960 pixels, 16:9 ratio (~256 ppi density)","Dual SIM (Micro-SIM, dual stand-by)",No,"Accelerometer, proximity",142 g (5.01 oz)
2011,Yes,2000,Quad-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB",Yes,Mali-400,"8 GB, 1 GB RAM",,BLU Studio G HD,Android 5.1 (Lollipop),,"5 MP (f/2.2, 1/5""), autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Dual SIM (Micro-SIM/ Mini-SIM, dual stand-by)",2 MP,"Accelerometer, proximity",133 g (4.69 oz)
2012,Yes,3000,Quad-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB",Yes,Mali-400,"8 GB, 1 GB RAM",,BLU Touchbook M7 Pro ,Android 7.0 (Nougat),,"5 MP, LED flash","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Dual SIM (Mini-SIM),2 MP,Accelerometer,275 g (9.70 oz)
2013,No,1300,,"microSD, up to 8 GB (dedicated slot)",No,,,,Celkon C669,,About 30 EUR,1.3 MP,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Dual SIM (Mini-SIM),No,,96 g (3.39 oz)
2014,No,780,312 MHz,microSD (dedicated slot),Yes,,48 MB,,Motorola A780,Linux,,1.3 MP,"240 x 320 pixels, 4:3 ratio (~160 ppi density)",Mini-SIM,No,,141 g (4.97 oz)
2015,Yes,,,"microSD, up to 4 GB (dedicated slot)",No,,,,Micromax GC333,,About 40 EUR,VGA,176 x 220 pixels (~128 ppi density),Dual SIM,No,,-
2016,No,700,,microSD (dedicated slot),No,,10 MB,,alcatel OT-C825,,,1.3 MP,176 x 220 pixels,Mini-SIM,No,,99g (3.49 oz)
2017,Yes,1200,,"microSD, up to 32 GB (dedicated slot), 4 GB card included",No,,,,Nokia Asha 503,Nokia Asha software platform 1.2,About 90 EUR,"5 MP, LED flash, check quality","240 x 320 pixels, 4:3 ratio (~133 ppi density)",Micro-SIM,No,"Accelerometer, proximity",110.2 g (3.88 oz)
2018,Yes,1000,256 MHz,"microSD, up to 32 GB (dedicated slot)",No,,20 MB,,Samsung E2262,,About 50 EUR,VGA,"320 x 240 pixels, 4:3 ratio (~182 ppi density)","Dual SIM (Mini-SIM, dual stand-by)",No,,91.5 g (3.21 oz)
2019,Yes,1500,1.2 GHz,"microSD, up to 64 GB (dedicated slot)",Yes,,"4 GB, 512 MB RAM",,Samsung Galaxy V,Android 4.4.2 (KitKat),About 80 EUR,"3.15 MP, LED flash","480 x 800 pixels, 5:3 ratio (~233 ppi density)","Dual SIM (Micro-SIM, dual stand-by)",VGA,Accelerometer,123 g (4.34 oz)
2020,Yes,1800,Dual-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB",Yes,Mali-400,"4 GB, 512 MB RAM",,BLU Studio 5.0 CE,Android 4.4.2 (KitKat),,"3.15 MP, LED flash","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Dual SIM (Mini-SIM),VGA,Accelerometer,171 g (6.03 oz)
2021,TBD,1200,650 MHz Cortex-A9,"microSD, up to 32 GB (dedicated slot)",Yes,PowerVR SGX531,,,Micromax A50 Ninja,Android 2.3.6 (Gingerbread),About 70 EUR,2 MP,"240 x 320 pixels, 4:3 ratio",Dual SIM (Mini-SIM),No,Accelerometer,-
2022,No,1200,,microSD (dedicated slot),No,,90 MB,,Samsung P960,,About 150 EUR,"3.15 MP, LED flash","240 x 320 pixels, 4:3 ratio (~154 ppi density)",Mini-SIM,CIF videocall camera,,
2023,Yes,1000,32-bit Intel XScale PXA270 312 MHz,"SD, up to 2 GB",No,,8 MB,,Motorola ROKR E6,Linux,About 140 EUR,2 MP,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Mini-SIM,No,,121 g (4.27 oz)
2024,No,800,,No,No,,,,Samsung E620,,,"1 MP, LED flash",176 x 220 pixels,Mini-SIM,No,,85 g (3.00 oz)
2025,No,800,,No,No,,8 MB,,Samsung E1195,,About 20 EUR,,"128 x 128 pixels, 1:1 ratio (~127 ppi density)",Mini-SIM,,,71 g (2.50 oz)
2026,Yes,1300,Dual-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB",Yes,Mali-400,"4 GB, 512 MB RAM",,Micromax Bolt A067,Android 4.4.2 (KitKat),About 60 EUR,"2 MP, LED flash","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Dual SIM,VGA,"Accelerometer, proximity",-
2027,Yes,1200,332 MHz Dual ARM 11,No,Yes,3D Graphics HW Accelerator,"8 GB, 128 MB RAM",,Nokia N95 8GB,"Symbian OS 9.2, S60 rel. 3.1",About 230 EUR,"5 MP, Carl Zeiss optics, autofocus, LED flash","240 x 320 pixels, 4:3 ratio (~143 ppi density)",Mini-SIM,QVGA videocall camera,Accelerometer,128 g (4.52 oz)
2028,Yes,3050,Quad-core 1.0 GHz Cortex-A53,"microSD, up to 32 GB",Yes,,"8 GB, 1 GB RAM",,Micromax Canvas Fire 6 Q428,Android 5.1 (Lollipop),,"8 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Dual SIM,2 MP,"Accelerometer, proximity",155 g (5.47 oz)
2029,No,720,,microSD (dedicated slot),No,,10 MB,,alcatel OT-C717,,,1.3 MP,128 x 160 pixels (~114 ppi density),Mini-SIM,No,,85 g (3.00 oz)
2030,Yes,1200,,"microSD, up to 32 GB (dedicated slot), 4 GB card included",No,,,,Nokia Asha 503 Dual SIM,"Nokia Asha software platform 1.2, upgradable to 1.4",About 100 EUR,"5 MP, LED flash","240 x 320 pixels, 4:3 ratio (~133 ppi density)","Dual SIM (Micro-SIM, dual stand-by)",No,"Accelerometer, proximity",111.4 g (3.92 oz)
2031,Yes,2600,Quad-core 1.2 GHz Cortex-A53,"microSD, up to 64 GB (dedicated slot)",Yes,Adreno 306,"8 GB, 1 GB RAM",,Samsung Galaxy Grand Prime Duos TV,Android 4.4.2 (KitKat),About 150 EUR,"8 MP, autofocus, LED flash","540 x 960 pixels, 16:9 ratio (~220 ppi density)","Dual SIM (Micro-SIM, dual stand-by)",5 MP,"Accelerometer, proximity, compass",152 g (5.36 oz)
2032,Yes,800,,"microSD, up to 32 GB (dedicated slot)",No,,30 MB,,Samsung Manhattan E3300,,About 30 EUR,VGA,128 x 160 pixels (~102 ppi density),Mini-SIM,No,,75.4 g (2.65 oz)
2033,Yes,2300,Octa-core 1.7 GHz Cortex-A7,No,Yes,Mali-450MP4,"16 GB, 2 GB RAM",,BLU Vivo IV,"Android 4.2.2 (Jelly Bean), upgradable to 4.4.2 (KitKat)",About 260 EUR,"13 MP, autofocus, LED flash","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Micro-SIM,5 MP,"Accelerometer, gyro, proximity",129 g (4.55 oz)
2034,Yes,1300,650 MHz Cortex-A9,"microSD, up to 32 GB (dedicated slot)",Yes,PowerVR SGX531,,,Micromax A78,Android 2.3 (Gingerbread),About 90 EUR,3.2 MP,"360 x 480 pixels, 4:3 ratio",Dual SIM (Mini-SIM),VGA,"Accelerometer, proximity, compass",-
2035,No,960,,microSD (dedicated slot),No,,12 MB,,Samsung P220,,,1.3 MP,128 x 160 pixels (~108 ppi density),Mini-SIM,No,,78 g (2.75 oz)
2036,No,880,,microSD (dedicated slot),No,,20 MB,,Motorola SLVR L7e,,About 100 EUR,1.3 MP,"176 x 220 pixels, 9 lines (~148 ppi density)",Mini-SIM,No,,96 g (3.39 oz)
2037,No,,,"microSD, up to 16 GB (dedicated slot)",No,,120 MB,,Samsung C414,,About 80 EUR,2 MP,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",Mini-SIM,No,,89.4 g (3.14 oz)
2038,Yes,2000,Quad-core 1.3 GHz Cortex-A53,"microSD, up to 32 GB",Yes,Mali-T720MP2,"16 GB, 2 GB RAM",,Micromax Canvas 5 Lite Q462,Android 5.1 (Lollipop),,"8 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Dual SIM,5 MP,"Accelerometer, proximity",151 g (5.33 oz)
2039,Yes,1700,Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB",Yes,Mali-400MP2,"8 GB, 1 GB RAM",,Micromax Canvas Pep Q371,Android 4.4.2 (KitKat),About 90 EUR,"5 MP, LED flash","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Dual SIM,VGA,"Accelerometer, proximity",-
2040,No,900,,"microSD, up to 8 GB (dedicated slot)",No,,20 MB,,Nokia 5610 XpressMusic,,About 110 EUR,"3.15 MP, autofocus, LED flash","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Mini-SIM,VGA videocall camera,,111 g (3.92 oz)
2041,,1000,,"microSD, up to 8 GB (dedicated slot)",No,,,,Celkon C55,,,1.3 MP,176 x 220 pixels (~128 ppi density),Dual SIM (Mini-SIM),No,,126 g (4.44 oz)
2042,No,1850,,microSD (dedicated slot),No,,350 MB,,Samsung F500,,About 190 EUR,2 MP,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Mini-SIM,No,,107 g (3.77 oz)
2043,No,785,,No,No,,3 MB,,alcatel OT 835,,,VGA,"128 x 160 pixels, 5 lines",Mini-SIM,No,,88 g (3.10 oz)
2044,Yes,2600,Quad-core 1.5 GHz Cortex-A7Quad-core 1.3 GHz Cortex-A7 - USA,"microSD, up to 256 GB (dedicated slot)",Yes,Mali-400Mali-T720 - USA,"8/16 GB, 1.5/2 GB RAM",Yes,Samsung Galaxy J3 ,"Android 5.1.1 (Lollipop) or Android 6.0 (Marshmallow), upgradable to 7.1.1 (Nougat)",About 120 EUR,"8 MP, f/2.2, autofocus, LED flash5 MP, f/2.2, autofocus, LED flash - USA, check quality","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)Nano-SIM (USA models only)","5 MP, f/2.2, 720p@30fps2 MP - USA","Accelerometer, proximity",138 g (4.87 oz)
2045,Yes,9500,Octa-core (4x1.9 GHz Cortex-A15 & 4x1.3 GHz Cortex-A7),"microSD, up to 64 GB (dedicated slot)",Yes,Mali-T628 MP6,"32/64 GB, 3 GB RAM",,Samsung Galaxy Note Pro 12.2 ,Android 4.4 (KitKat),About 540 EUR,"8 MP, autofocus, LED flash","2560 x 1600 pixels, 16:10 ratio (~247 ppi density)",No,"2 MP, 1080p@30fps","Accelerometer, gyro, compass",750 g (1.65 lb)
2046,Yes,7000,Dual-core 1.2 GHz Cortex-A9,"microSD, up to 32 GB (dedicated slot) - market dependent",Yes,PowerVR SGX540,"16/32 GB, 1 GB RAM",,Motorola XOOM 2 3G MZ616 ,"Android 3.2 (Honeycomb), upgradable to 4.0.4 (Ice Cream Sandwich)",About 210 EUR,"5 MP, autofocus, LED flash","800 x 1280 pixels, 16:10 ratio (~149 ppi density)",Mini-SIM,1.3 MP,"Accelerometer, gyro, compass, barometer",599 g (1.32 lb)
2047,No,860,,"microSD, up to 8 GB (dedicated slot)",No,,18 MB,,Nokia 6600 fold,,About 160 EUR,"2 MP, LED flash","240 x 320 pixels, 4:3 ratio (~188 ppi density)",Mini-SIM,VGA videocall camera,,110 g (3.88 oz)
2048,No,1000,,"microSD, up to 16 GB (dedicated slot)",Yes,,80 MB,,Samsung S5600 Preston,,About 90 EUR,"3.15 MP, LED flash","240 x 320 pixels, 4:3 ratio (~143 ppi density)",Mini-SIM,Videocall camera,Accelerometer,96 g (3.39 oz)
2049,Yes,2070,Quad-core 1.2 GHz Cortex-A7,No,Yes,Adreno 305,"8/16 GB, 1 GB RAM",,Motorola Moto G Dual SIM,"Android 4.4.2 (KitKat), upgradable to 5.1.1 (Lollipop)",About 140 EUR,"5 MP, f/2.4, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~326 ppi density)","Dual SIM, (Micro-SIM, dual stand-by)",1.3 MP,"Accelerometer, proximity, compass",143 g (5.04 oz)
2050,Yes,1500,Dual-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB",Yes,Mali-400,"8 GB, 512 MB RAM",,BLU Grand Mini,Android 6.0 (Marshmallow),,"5 MP, LED flash","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Dual SIM (Micro-SIM),2 MP,Accelerometer,132 g (4.66 oz)
2051,Yes,2500,Quad-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB",Yes,Mali-400,"8 GB, 1 GB RAM",,BLU Neo X Plus,Android 5.1 (Lollipop),,"8 MP (f/2.0, 1/4""), autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","Dual SIM (Micro-SIM, dual stand-by)",5 MP,"Accelerometer, proximity",162 g (5.71 oz)
2052,Yes,1750,Dual-core 1.0 GHz,"microSD, up to 32 GB (dedicated slot)",Yes,,,,Motorola Droid Bionic Targa,Android 2.3 (Gingerbread),,"8 MP, autofocus, dual-LED flash","540 x 960 pixels, 16:9 ratio (~245 ppi density)",Mini-SIM,Yes,"Accelerometer, proximity, compass",-
2053,No,1300,,"microSD, up to 4 GB (dedicated slot)",No,,,,Celkon C3,,,Yes,220 x 176 pixels (~128 ppi density),Dual SIM (Mini-SIM),No,,129 g (4.55 oz)
2054,Yes,,,"microSD, up to 16 GB (dedicated slot)",No,,,,Micromax X396,,,VGA,"240 x 320 pixels, 4:3 ratio (~125 ppi density)",Dual SIM (Mini-SIM),No,,-
2055,Yes,2500,Quad-core 1.2 GHz,"microSD, up to 32 GB (dedicated slot)",Yes,,"8 GB, 1 GB RAM",Yes,alcatel Pop 2 ,Android 5.0 (Lollipop),,"8 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Micro-SIM,2 MP,"Accelerometer, proximity/ compass (7044Y)",151 g (5.33 oz)
2056,Yes,850,104 MHz,"microSD, up to 8 GB (dedicated slot)",No,,2 MB,,alcatel OT-595,,,2 MP,220 x 176 pixels (~141 ppi density),Mini-SIM,No,,101 g (3.56 oz)
2057,No,970,,No,No,,2 MB,,Nokia 2626,,About 50 EUR,,"128 x 128 pixels, 1:1 ratio (~121 ppi density)",Mini-SIM,,,91 g (3.21 oz)
2058,Yes,6000,Dual-core 1.0 GHz Cortex-A9,No,Yes,ULP GeForce,"16/32/64 GB, 1 GB RAM",,Samsung Galaxy Tab 8.9 P7310 ,"Android 3.0 (Honeycomb), upgradable to 3.1 (Honeycomb)",About 350 EUR,"3.15 MP, autofocus, LED flash","800 x 1280 pixels, 16:10 ratio (~170 ppi density)",No,2 MP,"Accelerometer, gyro, compass",447.9 g (15.77 oz)
2059,Yes,1650,1.0 GHz Cortex-A5,"microSD, up to 32 GB (dedicated slot)",Yes,Adreno 200,"1 GB, 512 MB RAM",,Motorola DEFY XT535,Android 2.3.7 (Gingerbread),About 130 EUR,"5 MP, autofocus, LED flash","480 x 854 pixels, 16:9 ratio (~265 ppi density)",Mini-SIM,VGA,"Accelerometer, proximity, compass",115 g (4.06 oz)
2060,No,1200,,"microSD, up to 2 GB (dedicated slot)",No,,60 MB,,Samsung D880 Duos,,About 150 EUR,"3.15 MP, autofocus","240 x 320 pixels, 4:3 ratio (~174 ppi density)",Dual SIM (Mini-SIM),No,,116 g (4.09 oz)
2061,Yes,1200,1.0 GHz,"microSD, up to 32 GB",No,,256 MB + 512 MB,,Celkon Campus One A354C,Android 4.4 (KitKat),,"2 MP, dual-LED flash","320 x 480 pixels, 3:2 ratio (~165 ppi density)",Dual SIM,VGA,Accelerometer,-
2062,Yes,3500,Dual-core 1.0 GHz,"microSD, up to 64 GB (dedicated slot)",Yes,,,,Celkon CT-910+ ,Android 4.1 (Jelly Bean),,2 MP,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Yes,VGA,"Accelerometer, proximity",180 g (0.0 oz)
2063,Yes,1320,434 MHz ARM 11,No,Yes,,"16 GB, 128 MB RAM",,Nokia X6 16GB,"Symbian 9.4, Series 60 rel. 5",About 130 EUR,"5 MP, Carl Zeiss optics, autofocus, Dual-LED flash, video light","360 x 640 pixels, 16:9 ratio (~229 ppi density)",Mini-SIM,QCIF@15fps,"Accelerometer, proximity",122 g (4.30 oz)
2064,Yes,2000,Quad-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB",Yes,Mali-400,"4 GB, 512 MB RAM",,BLU Dash M2,Android 6.0 (Marshmallow),,"5 MP, LED flash","480 x 854 pixels, 16:9 ratio (~196 ppi density)","Dual SIM (Micro-SIM, dual stand-by)",2 MP,"Accelerometer, proximity",172 g (6.07 oz)
2065,Yes,,Dual-core 1.5 GHz Scorpion,"microSD, up to 32 GB (dedicated slot)",Yes,Adreno 205,"8 GB, 512 MB RAM",,HTC Desire HD2,Android 2.3 (Gingerbread),,"8 MP, autofocus, dual-LED flash","540 x 960 pixels, 16:9 ratio (~256 ppi density)",Mini-SIM,Yes,"Accelerometer, proximity, compass",-
2066,Yes,3100,"Deca-core (2x2.3 GHz Cortex-A72, 4x1.9 GHz Cortex-A53, 4x1.4 GHz Cortex-A53)","microSD, up to 256 GB",Yes,Mali-T880 MP4,"32 GB, 3 GB RAM",,alcatel Flash ,Android 6.0 (Marshmallow),,"Dual: 13 MP (f/2.0, 1/3"", 1.12 Âµm), phase detection autofocus, dual-LED dual-tone flash","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Dual SIM (Nano-SIM, dual stand-by)","Dual 8 MP + 5 MP, f/2.0, autofocus, dual-LED dual-tone flash","Fingerprint (rear-mounted), accelerometer, proximity, compass",155 g (5.47 oz)
2067,Yes,2000,Quad-core 1.2 GHz,"microSD, up to 32 GB (dedicated slot)",Yes,," 4 GB, 1 GB RAM (6036A, 6036X)/ 8 GB, 1 GB RAM (6036Y)",Yes,alcatel Idol 2 Mini S,"Android 4.3 (Jelly Bean), upgradable to 4.4 (KitKat)",About 200 EUR,"8 MP, autofocus, LED flash","540 x 960 pixels, 16:9 ratio (~245 ppi density)",Micro-SIM,2 MP,"Accelerometer, proximity, compass",116 g (4.09 oz)
2068,No,,,microSD (dedicated slot),No,,40 MB,,Samsung L760,,About 100 EUR,2 MP,176 x 220 pixels (~141 ppi density),Mini-SIM,VGA videocall camera,,93 g (3.28 oz)
2069,Yes,1700,Quad-core 1.2 GHz,"microSD, up to 32 GB",Yes,,"8 GB, 1 GB RAM",,Celkon Millennia Hero,Android 5.1 (Lollipop),,"5 MP, LED flash","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Dual SIM,3.2 MP,Accelerometer,113 g (3.99 oz)
2070,Yes,1200,832 MHz,"microSD, up to 32 GB (dedicated slot)",Yes,,160 MB,,Samsung Galaxy Y Pro B5510,Android 2.3 (Gingerbread),About 110 EUR,3.15 MP,"320 x 240 pixels, 4:3 ratio (~154 ppi density)",Mini-SIM,No,"Accelerometer, proximity, compass",108.6 g (3.81 oz)
2071,No,1500,,"microSD, up to 32 GB (dedicated slot), 4 GB included",Yes,,,,Samsung Acclaim,"Android 2.1 (Eclair), upgradable to 2.2 (Froyo)",About 170 EUR,"3.15 MP, autofocus, LED flash","320 x 480 pixels, 3:2 ratio (~180 ppi density)",Mini-SIM,No,Accelerometer,130 g (4.59 oz)
2072,Yes,2200,Octa-core 1.3 GHz Cortex-A53,"microSD, up to 256 GB (dedicated slot)",Yes,Mali-T720MP3,"32 GB, 3 GB RAM",,HTC Desire 628,Android 5.1 (Lollipop),About 200 EUR,"13 MP (f/2.0, 28mm), autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Dual SIM (Nano-SIM, dual stand-by)","5 MP (f/2.4, 28mm), 1080p","Accelerometer, proximity",142 g (5.01 oz)
2073,Yes,820,,"microSD, up to 32 GB (dedicated slot)",No,,"32 MB ROM, 32 MB RAM",,BLU Diva,,About 30 EUR,VGA,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Dual SIM (Mini-SIM),No,,90 g (3.17 oz)
2074,No,,168 MHz ARM925T,microSD (dedicated slot),Yes,,48 MB,,Motorola A1010,"Symbian 7.0, UIQ v2.1 UI",,2 MP,"208 x 320 pixels, 3:2 ratio (~132 ppi density)",Mini-SIM,VGA videocall camera,,160 g (5.64 oz)
2075,Yes,1450,,"microSD, up to 16 GB (dedicated slot)",No,,,,Celkon C769,,,1.3 MP,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",Dual SIM (Mini-SIM),No,,-
2076,Yes,1420,600 MHz ARM 11,"microSD, up to 32 GB (dedicated slot)",Yes,Adreno 200,"512 MB, 256 MB RAM",,Motorola SPICE Key XT317,Android 2.3 (Gingerbread),About 100 EUR,3.15 MP,"240 x 320 pixels, 4:3 ratio (~143 ppi density)","Dual SIM (Mini-SIM, dual stand-by)",No,"Accelerometer, proximity, compass",110 g (3.88 oz)
2077,Yes,860,600 MHz ARM 11,"microSD, up to 16 GB (dedicated slot), 4 GB included",No,,"60 MB, 128 MB RAM",,Nokia 5630 XpressMusic,"Symbian, S60 rel. 3.2",About 120 EUR,"3.15 MP, enhanced fixed focus, LED flash, check quality","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Mini-SIM,VGA videocall camera,,83 g (2.93 oz)
2078,Yes,2800,1.22 GHz Cortex-A8,"microSD, up to 32 GB (dedicated slot)",No,Mali-400,"4 GB, 512 MB RAM",,Micromax Funbook P300 ,Android 4.0.3 (Ice Cream Sandwich),About 100 EUR,No,"480 x 800 pixels, 5:3 ratio (~133 ppi density)",No,VGA,"Accelerometer, gyro",-
2079,Yes,1020,,"microSD, up to 32 GB (dedicated slot)",No,,10 MB,,Nokia 110,,About 40 EUR,VGA,128 x 160 pixels (~114 ppi density),Dual SIM (Mini-SIM),No,,80 g (2.82 oz)
2080,Yes,2800,Quad-core 2.5 GHz Krait 400,"microSD, up to 256 GB (dedicated slot)",Yes,Adreno 330,"16 GB (11.2 GB user available), 2 GB RAM",Yes,Samsung Galaxy S5 Active,"Android 4.4.2 (KitKat), upgradable to 6.0.1 (Marshmallow)",About 400 EUR,"16 MP (f/2.2, 31mm), autofocus, LED flash, check quality","1080 x 1920 pixels, 16:9 ratio (~432 ppi density)",Micro-SIM,"2 MP (f/2.4, 22mm), 1080p@30fps","Accelerometer, gyro, proximity, compass, heart rate",170.1 g (6.00 oz)
2081,Yes,1400,1.0 GHz Cortex-A5,"microSD, up to 32 GB (dedicated slot), 2 GB included",Yes,Adreno 200,"160 MB, 512 MB ROM, 256 MB RAM",,alcatel One Touch Fire,Firefox OS 1.0,About 120 EUR,3.15 MP,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Mini-SIM,No,"Accelerometer, proximity",108 g (3.81 oz)
2082,Yes,950,,"microSD, up to 8 GB (dedicated slot)",No,,,,Micromax Q6,,About 40 EUR,2 MP,"240 x 320 pixels, 4:3 ratio",Dual SIM (Mini-SIM),No,,130 g (4.59 oz)
2083,Yes,3000,Octa-core 1.4 GHz Cortex-A53,"microSD, up to 256 GB (dedicated slot)",Yes,Adreno 505,"16 GB, 2/3 GB RAM",Yes,Nokia 5,"Android 7.1.1 (Nougat), planned upgrade to Android 8.0 (Oreo)",About 180 EUR,"13 MP (f/2.0, 1/3"", 1.12 Âµm), phase detection autofocus, dual-LED dual-tone flash, check quality","720 x 1280 pixels, 16:9 ratio (~282 ppi density)","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","8 MP (f/2.0, 1.12 Âµm)","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",160 g (5.64 oz)
