,2G bands,3.5mm jack,3G Speed,3G bands,4G bands,Alert types,Announced,Audio Jack,Audio quality,Battery Capacity,Battery life,Bluetooth Support,Bluetooth Version,Browser,Browser,Build,Camera,Dimensions,Display Colors,Display Size,Display Type,EDGE,Expandable Storage,FM Radio,Features,GPRS,GPRS Features,GPS,GPS Support,GPU,Instant Message,Internal,Internal Storage,Internet Connectivity,Loudspeaker,Memory Card Slot Type,Messaging,Multitouch,Music play,NFC,Name,Operating System,Other Display Features,Performance,Price_INR,Primary Camera,Primary Camera Available,Primary Camera Features,Primary Clock Speed,Processor Core,Processor Type,Protection,RAM,Resolution,SAR,SAR EU,SIM Size,SMS,Secondary Camera,Secondary Camera Available,Secondary Camera Features,Sensors,Stand-by,Status,Supported Networks,Talk time,USB,Video,WLAN,Weight,Wi-Fi Version
376,,,,,,,,,,2500 mAh,,,,,,,,,,5.5 inch,,,,,,,,,,,,,16 GB,,,Hybrid Slot,,,,,"Coolpad Mega 2.5D (Royal Gold, 16 GB)Â Â (3 GB RAM)",Android Marshmallow 6.0,,,"‚¹7,499",8MP,,,1 GHz,Quad Core,,,3 GB,1280 x 720 Pixels,,,,,,,,,,,"4G LTE, GSM",,,,,,
377,,,,,,,,3.5 mm,,2100 mAh,,Yes,,,,,,,16M,5 inch,TFT IPS,,,,,,,,,ARM Mali-400 MP2 500MHz,Yes,,8 GB,3G,,,,,,,"ZOPO COLOR E1 Red (Red, 8 GB)Â Â (1 GB RAM)",Android Lollipop 5.1,,,"‚¹3,998",8MP,Yes,"Rear 8.0MP
Camera with HDR, Panorama, Night
Mode, Sport Mode, Smile Detection,
Front LED Flash, Back LED Flash
Video Playback: 1080P
Video Capture: 720P",1.3 GHz,Quad Core,Quad-Core,,1 GB,1284 x 720,,,Micro sim,Yes,2MP,Yes,,"Home Key Breathing Light
Gravity, Light, Distance,
Acceleration,
Geomagnetic Sensor",,,"GSM, GSM",,,,,137 g,
378,,,,,,,,,,1750 mAh,,,,,,,,,,2.8 inch,,,,,,,,,,,,,56 MB,,,Dedicated Slot,,,,,Karbonn K880Â Â (Black & Champagne),,,,"‚¹1,299",0.03MP,,,1 MHz,,,,56 MB,240 x 320$$Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
379,,,,,,,,3.5 mm,,3000 mAh,,Yes,4,,,,,,,5.45 inch,IPS,,128 GB,Yes,,,,,Yes,ARM Mali - 720 MP1 at 550 / 650 MHz,,,16 GB,"4G, 3G, EDGE, GPRS, Wi-Fi",,Dedicated Slot,,,,,"iVooMi i1 (Jade Black, 16 GB)Â Â (2 GB RAM)",Android Nougat 7,"18:9 FullScreen Display with Curve Edges, G+FF Highspeed Touch, 5-point Touch, Full Lamination Display with 2.5D Curve Glass",,"‚¹5,999",13MP + 2MP,Yes,"18:9 Photography, Supports Bokeh, Wide Angle, Potrait, HDR, Panaroma Mode",1.3 GHz,Quad Core,Mediatek 4X Cortex-A53,,2 GB,1280 x 640 Pixels,,,Dual Micro SIM,,8MP,Yes,Fixed Focus,"G-sensor, Light Sensor, Proximity Sensor",,,"4G VoLTE, GSM, 4G LTE, WCDMA",,,,,165 g,802.11 a/b/g/n
380,,,21.1 Mbps HSPA+,,,,,3.5 mm,,2800 mAh,,Yes,4,,,,,,,5.5 inch,,,32 GB,Yes,,,,,Yes,,,,8 GB,"Wi-Fi, 3G",,,,,,,"Xolo Q2100 (White, 8 GB)Â Â (1 GB RAM)",Android KitKat 4.4,"IPS Display, Corning Gorilla Glass 3",,"‚¹7,200",8MP,Yes,"Sony Exmor R Sensor, Auto Focus, Aperture F2.2, Low Light Sensitivity, Pixel Size 1.4-micron",1.3 GHz,Quad Core,MTK 6582,,1 GB,1280 x 720 Pixels,,,,,2MP,Yes,,"Accelerometer, Ambient Light Sensor, Proximity Sensor, Magnetometer",,,"GSM, WCDMA",,,,,162 g,802.11 b/g/n
381,,,,,,,,3.5 mm,,1000 mAh,,Yes,,,,,,,,1.8 inch,TFT,,8 GB,Yes,,,,,,,,,10 KB,"GPRS, WAP",,Dedicated Slot,,,,,Mido M12Â Â (White),0,,,‚¹589,0.3MP,Yes,,,,,,10 MB,320 x 240 Pixels,,,Regular SIM,Yes,,,,,,,"GSM, GSM",,,,,,
382,,,,,,,,3.5 mm,,950 mAh,,Yes,,,,,,,,1.8 inch,,,8 GB,Yes,,,,,,,,,64 MB,,,Dedicated Slot,,,,,Gfive U229Â Â (Black & Grey),0,,,‚¹529,0.3MP,Yes,,,,,,32 MB,128 x 160$$Pixels,,,,Yes,,No,,,,,"GSM, GSM",,,,,,
383,,,,,,,,,,800,,,,,,,,,,1.77,,,,,,,,,,,,,64 MB,,,Dedicated Slot,,,,,MTR Mt1102Â Â (Black),,,,‚¹640,0.3MP,,,1.4 MHz,,,,64 MB,120 x 240$$Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
384,,,,,,,,3.5 mm,,800 mAh,,Yes,,,,,,,,1.8 inch,,,16 GB,Yes,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Rocktel Selfie S1Â Â (White & Black),,,,‚¹579,0.3MP,Yes,,,,,,10 MB,360 x 240 Pixels,,,,Yes,,Yes,,,,,"GSM, GSM",,,,,,
385,,,,,,,,3.5 mm,,800 mAh,,Yes,,,,,,,,1.8 inch,,,32 GB,Yes,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Lava Captain 4iÂ Â (Blue & Green),,,,‚¹889,0.3MP,Yes,,1 MHz,,,,32 MB,120 x 160$$Pixels,,,Full Size,Yes,,,,,,,"GSM, GSM",,,,,,
386,,,,,,,,,,2500 mAh,,Yes,,,,,,,,5 inch,,,32 GB,Yes,,,,,Yes,,Yes,,16 GB,,,Dedicated Slot,,,,,"Celkon UFEEL (Blue & Black, 16 GB)Â Â (2 GB RAM)",Android Nougat 7.0,,,"‚¹4,999",8MP,Yes,Auto Focus with Flash Light,1.3 GHz,Quad Core,,,2 GB,720 x 1280$$Pixels,,,Micro SIM,Yes,,Yes,,"Gravity Sensor, Proximity Sensor, Light Sensor",,,"4G VoLTE, GSM",,,,,,
387,,,HSPA+ 42.2 Mbps,,,,,3.5 mm,,3300 mAh,,Yes,v4.1,,,,,,,5.5 inch,TFT,,256 GB,,,,,,Yes,ARM Mali T830 MP1,,,32 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)Â Â (3 GB RAM)",Android Marshmallow 6,,,"‚¹13,900",13MP,Yes,"Auto, Beauty Face, Continuous Shot, HDR (High Dynamic Range), Interval Shot, Night, Panorama, Pro, Sports, Sound & Shot",1.6 GHz,Octa Core,Exynos 7870 Octa Core 1.6GHz,,3 GB,1920 x 1080 Pixels,,,Micro SIM,Yes,8MP,Yes,"Animated Photo, Anti-fog, Auto, Beauty Face, Continuous Shot, HDR (High Dynamic Range), Interval Shot, Night, Panorama, Pro, Selfie, Sports, Wide Selfie","Accelerometer, Light Sensor, Proximity Sensor",,,"4G LTE, GSM",,,,,,802.11 b/g/n
388,,,,,,,,,,3000 mAh,,,,,,,,,,2.4 inch,,,,,,,,,,,,,256 MB,,,Dedicated Slot,,,,,Ssky N230Â Â (Black & Gold),,,,"‚¹1,340",2MP,,,1 MHz,,,,256 MB,129 x 119$$Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
389,,,,,,,,,,1000 mAh,,,,,,,,,,1.8 inch,,,,,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Mymax M42Â Â (Green),,,,‚¹599,1.3MP,,,1.2 MHz,,,,32 MB,320 x 400$$Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
390,,,,,,,,,,2000 mAh,,,,,,,,,,5 inch,,,,,,,,,,,,,8 GB,,,,,,,,"Panasonic Eluga I2 (Grey, 8 GB)Â Â (1 GB RAM)",Android Lollipop 5.1,,,"‚¹6,999",8MP,,,1 GHz,Quad Core,,,1 GB,720 x 1280,,,,,,,,,,,"UMTS, UMTS",,,,,,
391,,,21.1 Mbps HSPA+,,,,,3.5 mm,,2800 mAh,,Yes,4,,,,,,,5.5 inch,,,32 GB,Yes,,,,,Yes,,,,8 GB,"Wi-Fi, 3G",,,,,,,"Xolo Q2100 (White, 8 GB)Â Â (1 GB RAM)",Android KitKat 4.4,"IPS Display, Corning Gorilla Glass 3",,"‚¹7,200",8MP,Yes,"Sony Exmor R Sensor, Auto Focus, Aperture F2.2, Low Light Sensitivity, Pixel Size 1.4-micron",1.3 GHz,Quad Core,MTK 6582,,1 GB,1280 x 720 Pixels,,,,,2MP,Yes,,"Accelerometer, Ambient Light Sensor, Proximity Sensor, Magnetometer",,,"GSM, WCDMA",,,,,162 g,802.11 b/g/n
392,,,,,,,,,,1000 mAh,,,,,,,,,,2.4 inch,,,,,,,,,,,,,32 MB,,,,,,,,Micromax Joy X605Â Â (Black),1,,,‚¹957,0.3MP,,,,,,,16 MB,240 x 320 Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
393,,,,,,,,,,3000 mAh,,Yes,4.0,,,,,,16.7M,5.2 inch,,,256 GB,Yes,,,,,Yes,,,,16 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,,"OPPO A71 New Edition (Black, 16 GB)Â Â (3 GB RAM)",Android Nougat 7.1,,,"‚¹9,990",13MP,Yes,"F2.2, AF, Sensor size 1/3.06, 5p Lens",1.8 GHz,Octa Core,Snapdragon 450 (MSM450) Octa Core 1.8 GHz,,3 GB,1280 x 720 Pixels,,,Nano SIM and Nano SIM,Yes,5MP,,"F2.4, FF, Sensor Size 1/4, 4p Lens","Proximity Sensor, Light Sensor, Accelerator Sensor, E-compass",,,"4G VoLTE, 4G LTE, WCDMA",,,,,137 g,2.4G:802.11b/g/n; 5G:802.11a/n
394,,,,,,,,,,4000 mAh,,Yes,4.2,,,,,,,5.65 inch,IPS In-cell,,128 GB,,,,,,Yes,,,,32 GB,"4G, 3G, EDGE, GPRS, Wi-Fi",,Dedicated Slot,,,,,"Infinix Hot S3 (Sandstone Black, 32 GB)Â Â (3 GB RAM)",Android Oreo 8,,,"‚¹8,999",13MP,Yes,"PDAF, Professional Camera Settings, 5P Lens Element, F2.0 Aperture, Modes: HDR, Panoromic",1.4 GHz,Octa Core,Qualcomm Snapdragon 430 MSM8937,,3 GB,720*1440 Pixels,,,Nano SIM and Nano SIM,Yes,20MP,Yes,"4-in-1 Selfie Camera, Modes: Beauty Mode, Bokeh Mode, HDR, F2.0 Aperture","Fingerprint Sensor, Accelerometer, Proximity Sensor, Ambient Light Sensor, Compass, Hall Sensor, G Sensor",,,"GSM, 4G VoLTE, WCDMA",,,,,150 g,802.11 b/g/n
395,,,,,,,,,,5300 mAh,,Yes,4.2,,,,,,,6.44 inch,IPS,,128 GB,,,,,,Yes,Adreno 506,,,64 GB,"4G, 3G, Wi-Fi",,Hybrid Slot,,,,,"Mi Max 2 (Black, 64 GB)Â Â (4 GB RAM)",Android Nougat 7.1.1,Contrast Ratio: 1000:1,,"‚¹15,999",12MP,Yes,"Aperture: f/2.2, Lens Elements: 6p, PDAF",2 GHz,Octa Core,Qualcomm Snapdragon 625 Octa Core 2 Ghz,,4 GB,1920 x 1080 pixels,,,Micro SIM and Nano SIM,Yes,5MP,Yes,Aperture: f/2.0,"Ambient Light Sensor, Proximity Sensor, E-compass, Accelerometer, Gyroscope, Fingerprint Sensor",,,"4G VoLTE, 4G VoLTE",,,,,211 g,802.11 a/b/g/n/ac
396,,,,,,,,,,2200 mAh,,Yes,4.0,,,,,,,5 inch,IPS,,128 GB,,,,,,Yes,,,,16 GB,"4G, 3G, EDGE, GPRS, Wi-Fi",,Dedicated Slot,,,,,"Panasonic P100 (Blue, 16 GB)Â Â (1 GB RAM)",Android Nougat 7.0,2.5D Curved Display with Gorilla Glass,,"‚¹5,299",8MP,Yes,"5P Lens Element, F2.2 Aperture, Modes: Panaroma, Face Beauty, HDR",1.25 GHz,Quad Core,Mediatek MTK 6737 Quad Core,,1 GB,1280 x 720 Pixels,,,Micro SIM and Micro SIM,Yes,5MP,Yes,"Element Lens 4P, Aperture 2.2, Modes: Beauty Mode, HDR","Accelerometer, Proximity Sensor, Ambient Light Sensor, Fingerprint Sensor",,,"GSM, 4G LTE",,,,,174.8 g,802.11b/g/n
397,,,,,,,,3.5 mm,,3340 mAh,,Yes,v4.1,,,,,,16 M,5.5 inch,LTPS/a-si Display,,128 GB,Yes,,,"40 Kbit/s (UL), 60 Kbit/s (DL)",,Yes,,,,32 GB,"4G, 3G, Wi-Fi, GPRS, EDGE",,Hybrid Slot,,,,No,"Honor 6X (Gold, 32 GB)Â Â (3 GB RAM)",Android Marshmallow 6.0,Multi Touch Sensitive Screen,,"‚¹11,999",12MP + 2MP,Yes,"Auto Focus, Wide Aperture Mode, Professional Mode, Food Mode, Audio Control",2.1 GHz,Octa Core,Kirin 655,,3 GB,1920 x 1080 pixels,,,Nano SIM,Yes,8MP,Yes,"Fixed Focus, Makeup Mode, Perfect Selfie, Beauty Mode, Panorama, HDR, Watermark, Audio Note, Ultra Snapshot, Best Photo, Smile Snapshot, Timer Function, Touch to Capture, Time Lapse Mode","Hall Effect Sensor, Fingerprint Sensor, Proximity Sensor, Ambient Light Sensor, Compass, Gravity Sensor, Phone Status Indicator",,,"4G VoLTE, 4G LTE",,,,,162 g,802.11 b/g/n
398,,,,,,,,,,400 mAh,,,,,,,,,,1.77 inch,,,,,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Kechaoda K116 PlusÂ Â (Gold),,,,‚¹975,0.3MP,,,,,,,32 MB,320 x 240$$Pixels,,,,,,,,,,,GSM,,,,,,
399,,,,,,,,3.5 mm,,3000 mAh,,Yes,5,,,,,,16M,5.8 inch,Super AMOLED,,400 GB,,,,,,,ARM Heimdall MP18,,,64 GB,"4G, 3G, Wi-Fi",,Hybrid Slot,,,,Yes,"Samsung Galaxy S9 (Lilac Purple, 64 GB)Â Â (4 GB RAM)",Android Oreo 8,,,"‚¹57,900",12MP,Yes,"Auto, Food, Hyperlapse, Panorama, Pro, Selective Focus, Slow Motion, Sports, Stickers, Super slow-mo",2.7 GHz,Octa Core,Exynos 9810,,4 GB,2960 x 1440 Pixels,,,Nano SIM,,8MP,Yes,"Selfie, Wide Selfie",,,,"4G LTE, GSM, UMTS, WCDMA",,,,,163 g,
400,,,,,,,,,,2500 mAh,,Yes,,,,,,,16 M,5 inch,,,,Yes,,,,,Yes,,Yes,,16 GB,,,Hybrid Slot,,,,,"ZTE V7 Lite (4G VoLTE) (Silver, 16 GB)Â Â (2 GB RAM)",Android Marshmallow 6.0,,,"‚¹5,999",13MP,Yes,"Geo-Tagging, Touch Focus, Face Detection, HDR, Panorama",1 GHz,Quad Core,,,2 GB,720 x 1280 pixels,,,,Yes,8MP,Yes,"Geo-tagging, touch focus, face detection, HDR, panorama","Fingerprint (rear-mounted), accelerometer, proximity, compass",,,"4G VoLTE, GSM",,,,,133.3 g,
401,,,,,,,,3.5 mm,,3000 mAh,,Yes,4,,,,,,,5.5 inch,IPS,,256 GB,,,,,,Yes,ARM MaIi - T860 MP2,,,64 GB,"4G, 3G, Wi-Fi",,Hybrid Slot,,,,,"VIVO V5s Perfect Selfie (Crown Gold, 64 GB)Â Â (4 GB RAM)",Android Nougat 7 (Update Available),2.5D Glass and Eye Protection Mode,,"‚¹15,990",13MP,Yes,"PDAF, Ultra HD, Normal, Face Beauty, Panorama, HDR, Night, PPT, Pro, Videos, Fast, Slow, Watermark, Camera Filter, Voice Capture, Touch Capture, Palm Capture,Timer",1.5 GHz,Octa Core,MediaTek MT6750 64-bit Octa Core 1.5GHz,,4 GB,1280 x 720 pixels,,,Micro SIM and Nano SIM,Yes,20MP,Yes,"Face Beauty 6.0, Normal, Videos, Voice Capture, Touch Capture, Palm Capture, Timer, Gender Detection, Mirrored Selfie","Accelerometer, Ambient Light Sensor, Proximity Sensor, E-compass, Gyroscope (Virtual), Fingerprint Scanner",,,"4G LTE, 4G LTE",,,,,154 g,802.11 b/g/n/ac
402,,,,,,,,,,850 mAh,,,,,,,,,,1.8 inch,,,,,,,,,,,Yes,,32 MB,,,Dedicated Slot,,,,,Callbar B3310Â Â (Blue),No,,,‚¹649,0.3MP,,,1 MHz,,,,512 MB,320 x 480$$Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,,
403,,,,,,,,,,2400 mAh,,,,,,,,,,4 inch,,,,Yes,,,,,,,,,8 GB,,,,,,,,"Panasonic T44 (Champagne gold, 8 GB)Â Â (1 GB RAM)",Android Marshmallow 6.0.1,IPS Display,,"‚¹3,199",5MP,,,1.3 GHz,Quad Core,0 0 Quad Core 1.3GHz,,1 GB,800 x 480 Pixels,,,,Yes,,,,Proximity sensor,,,"GSM, GSM",,,,,,
404,,,,,,,,3.5 mm,,2200 mAh,,Yes,,,,,,,,5 inch,,,128 GB,,,,,,,,,,32 GB,,,Hybrid Slot,,,,,"Comio C1 4G (Mellow Gold, 32 GB)Â Â (1 GB RAM)",Android Nougat 7.0,,,"‚¹5,499",8MP,Yes,"Auto Focus, Flash, 4 P Lens, F 2.0 Aperture",1.3 GHz,Quad Core,,,1 GB,1280 x 720 Pixels,,,,,5MP,Yes,,,,,4G VoLTE,,,,,175 g,
405,,,,,,,,3.5 mm,,1050 mAh,,Yes,2.1,,,,,,,1.8 inch,TFT,,16 GB,,,,,,,,,,,,,Dedicated Slot,,,,,Mafe NemoÂ Â (Black + dark grey),,,,‚¹690,0.3MP,Yes,,,,,,,160 x 128 Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,,
406,,,,,,,,3.5 mm,,3600 mAh,,Yes,,,,,,,,2.8 inch,,,32 GB,Yes,,,,,,,,,32 MB,Yes,,Dedicated Slot,,,,,Aqua Pearl MaxÂ Â (White Blue),0,,,"‚¹1,298",1.3MP,Yes,,312 MHz,,,,32 MB,240 x 320$$Pixels,,,Full Size SIM,Yes,,,,,,,"GSM, GSM",,,,,,
407,,,,,,,,3.5 mm,,4000 mAh,,Yes,4.2,,,,,,,5.99 inch,IPS (in-cell),,128 GB,,,,,,Yes,Adreno 506,,,32 GB,"4G, 3G, Wi-Fi",,Hybrid Slot,,,,,"Redmi Note 5 (Rose Gold, 32 GB)Â Â (3 GB RAM)",Android Nougat 7.1.2,"Contrast Ratio: 1000:1, 2.5D Front Glass Panel, Corning Gorilla Glass",,"‚¹9,999",12MP,Yes,"f/2.2, 1.25 microns Pixel Size, 5P Lens, PDAF",2 GHz,Octa Core,Qualcomm Snapdragon 625,,3 GB,2160 x 1080 Pixels,,,Nano SIM and Nano SIM,,5MP,Yes,"Aperture - f2.0, 1.12 microns Pixel Size","Fingerprint Scanner, Ambient Light Sensor, Proximity Sensor, E Compass, Accelerometer, Hall Sensor, Gyroscope",,,"4G VoLTE, UMTS, GSM, 4G LTE, WCDMA",,,,,180 g,802.11 a/b/g/n
408,,,,,,,,,,950 mAh,,,,,,,,,,1.8 inch,TFT,,8 GB,Yes,,,,,,,,,,,,Dedicated Slot,,,,,Melbon DUDE 88-2017Â Â (Black),,,,‚¹550,0.3MP,,,,,,,,120 x 240 Pixels,,,,,,,,,,,"GSM, GSM",,,,,110 g,
409,,,,,,,,3.5 mm,,3000,,Yes,,,,,,,,5,,,,Yes,,,,,Yes,,Yes,,8 GB,"4G, 3G, 2G, & WiFi",,Dedicated Slot,,,,,"Sansui S73 (Rose Gold, 8 GB)Â Â (1 GB RAM)",Android Marshmallow 6.0,,,"‚¹3,499",5MP,Yes,,1.1 GHz,Quad Core,,,1 GB,480 x 480$$Pixels,,,,Yes,2MP,Yes,,All,,,"4G LTE, GSM",,,,,,
410,,,,,,,,3.5 mm,,2800 mAh,,Yes,,,,,,,,5 inch,,,,,,,,,,,Yes,,8 GB,,,Dedicated Slot,,,,,"GreenBerry Z8 (Rose Gold, 8 GB)Â Â (1 GB RAM)",Android Nougat 7,,,"‚¹4,399",8MP,Yes,flash,1.7 GHz,Quad Core,,,1 GB,1080 x 720$$Pixels,,,,Yes,5MP,Yes,,,,,"4G VoLTE, GSM",,,,,,
411,,,,,,,,3.5 mm,,2200 mAh,,Yes,,,,,,,,2.4 inch,TFT,,32 GB,Yes,,,,,,,,,,,,Hybrid Slot,,,,,Gfive Z8Â Â (Champagne Gold),,,,‚¹875,0.3MP,Yes,,,,,,,240 x 320 Pixels,,,Normal SIM,Yes,,,,,,,"GSM, GSM",,,,,,
412,,,,,,,,3.5mm,,2250 mAh,,Yes,,,,,,,,5 inch,HD IPS Display,,128 GB,Yes,,,,,,,,,16 GB,Yes,,Dedicated Slot,,,,,"Karbonn Yuva 2 (Blue, 16 GB)Â Â (2 GB RAM)",Android Nougat 7,,,"‚¹4,799",5MP,Yes,5 MP Rear Camera with LED Flash,1.25 GHz,Quad Core,,,2 GB,1280 x 720$$Pixels,,,,Yes,,Yes,3.2 Mp Selfie Camera,,,,"4G VoLTE, UMTS, GSM",,,,,170 g,
413,,,,,,,,,,4000 mAh,,Yes,4,,,,,,,5.5 inch,IPS On Cell,,128 GB,,,,,,Yes,,,,16 GB,"3G, 4G, EDGE, GPRS, Wi-Fi",,Hybrid Slot,,,,,"Panasonic Eluga I3 Mega (Gold, 16 GB)Â Â (3 GB RAM)",Android Marshmallow 6,HD IPS On Cell Display with 2.5D Curved Glass,,"‚¹9,749",13MP,Yes,"5P Lens Element, F2.2 Aperture, Modes: HDR, Panoramic",1.3 GHz,Quad Core,MTK6735,,3 GB,1280 x 720 Pixels,,,Micro SIM and Nano SIM,Yes,5MP,Yes,"F2.4 Aperture, 4P Lens Elements, Modes: Beauty Mode, HDR","Accelerometer, Proximity Sensor, Ambient Light Sensor",,,"4G VoLTE, UMTS, GSM, 4G LTE, WCDMA",,,,,180 g,802.11 b/g/n
414,,,,,,,,3.5 mm,,3000 mAh,,Yes,2,,,,,,65 K,2.4 inch,TFT,,8 GB,Yes,,,"Class 12, 48 kbps, 85.6 kbps",,,,,,32 KB,WAP,,,,,,Yes,JIVI N9003Â Â (Black),,Big And Bright Display,,"‚¹1,149",1.3MP,Yes,Good Quality Camera,,,,,,240 x 320 Pixel,,,Normal,Yes,,,,,,,"GSM, GSM",,,,,120 g,
415,,,,,,,,,,1000,,,,,,,,,,1.8,,,,,,,,,,,,,32 MB,,,Dedicated Slot,,,,,I-Plus i1Â Â (Black & Red),,,,‚¹699,0.03MP,,,50 MHz,,,,20 MB,160 x 120$$Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
416,,,,,,,,,,800 mAh,,Yes,,,,,,,,1.8 inch,TFT,,8 GB,Yes,,,,,,,,,10 MB,,,,,,,,Rocktel W7Â Â (White),,,,‚¹569,0.3MP,,,,,,,10 MB,128 x 160 Pixels,,,Full Size Sim,,,,,,,,"GSM, GSM",,,,,,
417,,,,,,,,3.5 mm,,4000 mAh,,Yes,,,,,,,,2.4 inch,,,16 GB,Yes,,,,,,,,,1 MB,2G,,Dedicated Slot,,,,,Kara K17Â Â (Red),,,,"‚¹1,249",0.3MP,Yes,,1 MHz,,,,1 MB,320 x 240$$Pixels,,,Normal SIM,Yes,,Yes,,,,,"GSM, GSM",,,,,,
418,,,,,,,,,,1000,,,,,,,,,,2.4,,,,,,,,,,,Yes,,512 MB,,,Dedicated Slot,,,,,Lychee Y006Â Â (Blue),,,,‚¹799,2MP,,,1.2 MHz,,,,512 MB,240 x 320$$Pixels,,,yes,Yes,,,,no,,,"GSM, GSM",,,,,,
419,,,,,,,,,,1200,,Yes,,,,,,,,2.4,,,16 GB,Yes,,,,,,,No,,32 MB,,,Dedicated Slot,,,,,Chilli F05 SuperstarÂ Â (Silver),,,,"‚¹1,399",1.3MP,Yes,,512 MHz,,,,32 MB,120 x 240$$Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,,
420,,,,,,,,,,2500 mAh,,,,,,,,,,1.8 inch,,,,,,,,,,,,,1 MB,,,Dedicated Slot,,,,,Fox GamaÂ Â (Grey),,,,‚¹999,0.3MP,,,1 MHz,,,,1 MB,128 x 160$$Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
421,,,,,,,,,,950,,,,,,,,,,1.8,,,,,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Gfive U330Â Â (Black),No,,,‚¹699,1.3MP,,,1.2 MHz,,,,32 MB,320 x 400$$Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
422,,,,,,,,3.5 mm,,1000 mAh,,Yes,2,,,,,,65 K,1.8 inch,TFT,,8 GB,Yes,,,"Class 12, 48 kbps, 85.6 kbps",,,,,,32 KB,WAP,,,,,,Yes,JIVI 12MÂ Â (Black Red),,Big And Bright Display,,‚¹674,,,Mobile Phone Without Camera,,,,,1 MB,169 X 128 Pixel,,,Normal,Yes,,,,,,,"GSM, GSM",,,,,95 g,
423,,,,,,,,,,800,,,,,,,,,,1.4,,,,,,,,,,,,,64 MB,,,,,,,,I Kall K72Â Â (Black),,,,‚¹499,0MP,No,,,,,,32 MB,96 x 68$$Pixels,,,Normal SIM,Yes,,No,,,,,GSM,,,,,,
424,,,,,,,,3.5 mm,,1000 mAh,,Yes,,,,,,,,1.8 inch,,,8 GB,Yes,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Mtech G17Â Â (Black & Blue),,,,‚¹799,0.3MP,Yes,,,,,,32 MB,128 x 160 Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,,
425,,,,,,,,,,1800 mAh,,,,,,,,,,2.4 inch,,,,,,,,,,,,,120 MB,,,Dedicated Slot,,,,,Iball Supremo B3Â Â (Gold),,,,‚¹999,0.3MP,,,,,,,512 MB,320 x 240 Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
426,,,,,,,,3.5 mm,,2500 mAh,,Yes,,,,,,,,1.8 inch,QQVGA,,16 GB,,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Mtech JumboÂ Â (Black & Red),,,,‚¹949,0.3MP,Yes,,,,,,32 MB,128 x 160 Pixels,,,Regular SIM,Yes,,,,,,,"GSM, GSM",,,,,,
427,,,,,,,,3.5 mm,,1800 mAh,,Yes,,,,,,,,2.4 inch,,,8 GB,Yes,,,,,,,,,64 MB,,,Dedicated Slot,,,,,"I Kall K35 Combo Of Two MobileÂ Â (Light Blue, Light Blue)",0,,,"‚¹1,499",0.3MP,Yes,,,,,,32 MB,240 x 320 Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,,
428,,,,,,,,3.5 mm,,1500 mAh,,Yes,,,,,,,,2.4 inch,,,32 GB,Yes,,,,,,,,,32 MB,,,,,,,,Blackbear D-102Â Â (Gold),,,,"‚¹1,350",0.3MP,Yes,,,,,,32 MB,320 x 220 Pixels,,,,,,,,,,,"GSM, GSM",,,,,120 g,
429,,,,,,,,,,3000 mAh,,,,,,,,,,5.5 inch,,,,,,,,,,,,,64 GB,,,Dedicated Slot,,,,,"LG Q6+ (Platinum Platinum, 64 GB)Â Â (4 GB RAM)",Android Nougat 7.1.1,,,"‚¹16,500",13MP,,,1.4 GHz,Octa Core,,,4 GB,1080 x 2160$$Pixels,,,,,,,,,,,"4G VoLTE, GSM",,,,,,
430,,,,,,,,3.5 mm,,2800 mAh,,Yes,3,,,,,,,2.4 inch,,,8 GB,Yes,,,,,,,,,32 MB,,,Dedicated Slot,,,,,GreenBerry G55Â Â (Silver),,,,"‚¹1,099",2MP,Yes,,1.2 MHz,,,,64 MB,320 x 480 Pixels,,,Standard SIM,Yes,,,,,,,"GSM, GSM",,,,,,
