,3.5mm jack,Battery ,GPS Support,GPU,Internal Storage,Card slot,NFC,Name,OS,Price,Primary Camera,Clock Speed,SIM,Secondary Camera,Sensors,Weight,Resolution
2814,,,,,,,,Wellcare Smart Watch Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Golden Smartwatch Golden Smartwatch,Android,"‚¹1,099",2.1 MP,,,,,73.8 g,
2815,,,,,,,,TECHNO FROST Techno GT Smartwatch Multi Smartwatch,Android,"‚¹1,255",1.9 MP,,,,,75 g,
2816,,,,,,,,Goosprey DZ09-37 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Black Smartwatch,Android Wear,"‚¹1,399",2 MP,,,,,,
2817,,,,,,,,Mobile Link Liquid E700 Compatible Smartwatch Silver Smartwatch,Android,‚¹759,1.9 MP,,,,,100 g,
2818,,,,,,,,Wokit A1-422 Golden Smartwatch,"Android, iOS, Windows","‚¹1,229",2 MP,,,,,,
2819,,,,,,,,Wellcare Smart Watch Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Black Smartwatch Black Smartwatch,Android,"‚¹1,099",2.72 MP,,,,,73.8 g,
2820,,,,,,,,Eleganz ELNZ A1-153 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Black Smartwatch,"Android, iOS, Windows","‚¹1,299",2 MP,,,,,,
2821,,,,,,,,Wokit U8 Red Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2822,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with Lg Optimus Pro C660 Silver Smartwatch,Android,"‚¹2,349",,,,,,,
2823,,,,,,,,Wokit U8 White Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2824,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with Micromax Canvas Blaze Silver Smartwatch,Android,"‚¹2,349",,,,,,,
2825,,,,,,,,Wokit U8 Red Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2826,,,,,,,,Wokit U8 White Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2827,,,,,,,,HealthMax DZ09-47 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Silver Smartwatch,Android Wear,"‚¹1,099",2 MP,,,,,,
2828,,,,,,,,Wokit U8 Red Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2829,,,,,,,,IBS Bluetooth smart Wrist Sim Call Watch sport Pedometer for IOS and Android Smartphone Black Smartwatch,android,"‚¹1,999",,,,,,,
2830,,,,,,,,Techno Frost DZ Brown Smartwatch,Android,"‚¹1,153",0.3 MP,,,,,,
2831,,,,,,,,Techno Frost DZ Silver Smartwatch,Android,"‚¹1,156",0.3 MP,,,,,,
2832,,,,,,,,Wokit U8 Red Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2833,,,,,,,,uhr-zeit DZ09 UhrZeit Smartwatch,,‚¹899,,,,,,,
2834,,,,,,,,Eleganz ELNZ A1-108 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Silver Smartwatch,"Android, iOS, Windows","‚¹1,299",2 MP,,,,,,
2835,,,,,,,,Aomax Smart Watch With Sim and Camera Smartwatch,Android Wear,"‚¹1,099",0.3 MP,,,,,,
2836,,,,,,,,Wokit U8 White Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2837,,,,,,,,Wokit U8 White Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2838,,,,,,,,Wokit U8 Red Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2839,,,,,,,,Wokit U8 Red Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2840,,,,,,,,Wokit U8 Red Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2841,,,,,,,,Wokit DZ09-9 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Silver Smartwatch,"Android, iOS, Windows","‚¹1,099",2 MP,,,,,,
2842,,,,,,,,Wokit U8 Red Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2843,,,,,,,,Wokit U8 Black Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2844,,,,,,,,Wokit U8 White Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2845,,,,,,,,Wokit U8 Black Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2846,,,,,,,,Wokit U8 Red Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2847,,,,,,,,Wokit U8 White Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2848,,,,,,,,Wokit U8 Red Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2849,,,,,,,,Any Time Buy DZ09 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Smartwatch,,‚¹995,2.0 MP,,,,,,
2850,,,,,,,,Wokit U8 Black Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2851,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with Coolpad Dazen 1 Silver Smartwatch,Android,"‚¹2,349",,,,,,,
2852,,,,,,,,Wokit U8 Red Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2853,,,,,,,,Wokit U8 Red Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2854,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with Micromax Bolt A 67 Silver Smartwatch,Android,"‚¹2,349",,,,,,,
2855,,,,,,,,Wokit U8 Black Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2856,,,,,,,,STARUSS GT08-1 Bluetooth with Built-in Sim card and memory card slot Compatible with All IOS and Android Mobiles SR-122 Smartwatch,,"‚¹1,087",,,,,,,
2857,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with Moto G3 Silver Smartwatch,Android,"‚¹2,349",,,,,,,
2858,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with Google Nexus 5 Silver Smartwatch,Android,"‚¹2,349",,,,,,,
2859,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with Moto X 2nd Gen. Silver Smartwatch,Android,"‚¹2,349",,,,,,,
2860,,,,,,,,Wokit U8 Black Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2861,,,,,,,,Wokit U8 Black Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2862,,,,,,,,Wokit DZ09-30 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Black Smartwatch,"Android, iOS, Windows","‚¹1,099",2 MP,,,,,,
2863,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with OnePlus One Silver Smartwatch,Android,"‚¹2,349",,,,,,,
2864,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with Micromax Canvas Hue Silver Smartwatch,Android,"‚¹2,349",,,,,,,
2865,,,,,,,,Techno Frost DZ Silver Smartwatch,Android,"‚¹1,130",0.3 MP,,,,,,
2866,,,,,,,,Wokit U8 White Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2867,,,,,,,,Wokit A1-390 Silver Smartwatch,"Android, iOS, Windows","‚¹1,299",2 MP,,,,,,
2868,,,,,,,,Wokit U8 Red Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2869,,,,,,,,HealthMax DZ09-18 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Brown Smartwatch,Android Wear,"‚¹1,099",2 MP,,,,,,
2870,,,,,,,,HealthMax BT and Fitness Tracker Smartwatch support Nano SIM Card and 32GB TF Card With Whatsapp and Facebook & Twitter APP Compatible with MEIZU MX5 Silver Smartwatch,Android,"‚¹2,349",,,,,,,
2871,,,,,,,,Wokit U8 Black Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2872,,,,,,,,Wokit DZ09-262 Bluetooth with Built-in Sim card and memory card slot Compatible with All Android Mobiles Black Smartwatch,"Android, iOS, Windows","‚¹1,099",2 MP,,,,,,
2873,,,,,,,,888 DZ09 Black Stylish Bluetooth Smart Watch Smartwatch,Android,"‚¹1,048",0.3 MP,,,,,70 g,
2874,,,,,,,,Wokit U8 White Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
2875,,,,,,,,Wokit U8 White Smartwatch,"Android, iOS, Windows",‚¹899,,,,,,,
