,Unnamed: 0,2G bands,3.5mm jack,3G Speed,3G bands,4G bands,Alert types,Announced,Audio Jack,Audio quality,Battery Capacity,Battery life,Bluetooth Support,Bluetooth Version,Browser,Browser.1,Build,Camera,Dimensions,Display Colors,Display Size,Display Type,EDGE,Expandable Storage,FM Radio,Features,GPRS,GPRS Features,GPS,GPS Support,GPU,Instant Message,Internal,Internal Storage,Internet Connectivity,Loudspeaker,Memory Card Slot Type,Messaging,Multitouch,Music play,NFC,Name,Operating System,Other Display Features,Performance,Price_INR,Primary Camera,Primary Camera Available,Primary Camera Features,Primary Clock Speed,Processor Core,Processor Type,Protection,RAM,Resolution,SAR,SAR EU,SIM Size,SMS,Secondary Camera,Secondary Camera Available,Secondary Camera Features,Sensors,Stand-by,Status,Supported Networks,Talk time,USB,Video,WLAN,Weight,Wi-Fi Version
1197,1197,,,,,,,,,,1200 mAh,,,,,,,,,,1.8 inch,,,,,,,,,,,,,20 MB,,,Dedicated Slot,,,,,Reach Cogent Mini,,,,‚¹899,0.3MP,,,,,,,10 MB,320 x 480 Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
1198,1198,,,,,,,,3.5 mm,,2700 mAh,,Yes,,,,,,,,5.2 inch,,,128 GB,,,,,,,,,,32 GB,,,Hybrid Slot,,,,,Comio S1 4G ,Android Nougat 7.0,,,"‚¹8,499",13MP,Yes,"Auto Focus, Flash, 5P Lens, F 2.0 Aperture",1.3 GHz,Quad Core,,,2 GB,1280 x 720 Pixels,,,,,8MP,Yes,"8 MP Front Camera with Â Flash , 4 P Lens and Â F 2.0.",,,,4G VoLTE,,,,,159 g,
1199,1199,,,,,,,,,,1000,,,,,,,,,,2.4,,,,,,,,,,,,,128 MB,,,Dedicated Slot,,,,,MTR Mt05,,,,"‚¹1,599",0.3MP,,,1.4 MHz,,,,128 MB,120 x 240$$Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
1200,1200,,,,,,,,,,1050 mAh,,,,,,,,,,2.4 inch,,,,,,,,,,,,,32 MB,,,,,,,,Adcom X18 ,,,,‚¹888,0MP,Yes,,,,,,32 MB,240*320,,,Normal,Yes,,,,,,,"GSM, GSM",,,,,,
1201,1201,,,21 Mbps HSDPA; 5.76 Mbps HSUPA,,,,,3.5 mm,,2000 mAh,,Yes,4,,,,,,,4.7 inch,LCD,,32 GB,Yes,,,,,Yes,Mali-400 MP2,,,4 GB,"3G, Wi-Fi, GPRS",,Dedicated Slot,,,,No,Micromax Unite 2 A106 ,Android KitKat 4.4.2,"Pinch-to-Zoom, Auto-rotate, IPS Display",,"‚¹6,799",5MP,Yes,"Auto Focus, Flash Support, Face Beauty Mode, Live Photo Mode, HDR Mode, Panorama Shots",1.3 GHz,Quad Core,MT6582M,,1 GB,800 x 480 Pixels,,,,,2MP,Yes,Fixed Focus,"Accelerometer, Gravity Sensor, Proximity Sensor",,,"GSM, GSM",,,,,,
1202,1202,,,HSPA,,,,,,,2300 mAh,,Yes,4,,,,,,,5 inch,,,128 GB,Yes,,,Class 12,,Yes,,,,16 GB,"4G, 3G, Wi-Fi, GPRS, EDGE",,Dedicated Slot,,,,,Gionee P7 ,Android Marshmallow 6,IPS Display with Soda Lime Protection,,"‚¹10,999",8MP,Yes,"Face Beauty, HDR, Night Mode, Panorama, Professional, Time Lapse, Smart Scene, Text Recognition, GIF, PicNote, Smart Scan, Mood Photo",1.3 GHz,Quad Core,Quad Core 1.3GHz,,2 GB,1280 x 720 Pixels,,,Micro SIM,Yes,5MP,Yes,,"Digital Compass, G Sensor (Auto Rotation), Proximity Sensor, Light Sensor, Accelerometer",,,"4G LTE, 4G LTE",,,,,167 g,802.11 b/g/n
1203,1203,,,"HSDPA (Downlink Speed): 42 Mbps, HSUPA (Uplink Speed): 11 Mbps",,,,,3.5 mm,,2500 mAh,,Yes,4,,,,,,,5 inch,IPS,,64 GB,Yes,,,Class 12,,Yes,Mali T720-MP1 650,,,16 GB,"4G, 3G, Wi-Fi, WAP",,Dedicated Slot,,,,,Yu Yunique 2 ,Android Nougat 7.0,"4 Pinch Zoom, 2-point Multitouch",,"‚¹5,999",13MP,Yes,"Auto Focus, Zoom Level: 4, Multi Shot",1.3 GHz,Quad Core,MediaTek MT6737 Quad Core 1.3 GHz,,2 GB,1280 x 720 pixels,,,Micro SIM and Micro SIM,Yes,5MP,Yes,Fixed Focus,"Proximity Sensor, Light Sensor, Accelerometer",,,"4G VoLTE, 4G VoLTE",,,,,159 g,802.11 b/g/n
1204,1204,,,,,,,,,,3000 mAh,,Yes,,,,,,,,5.0 inch,IPS,,256 GB,Yes,,,,,Yes,,,,16 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,,Gionee X-1 ,Android Nougat 7.0,,,"‚¹8,399",8MP,Yes,"Night, Panorama, Professional, Time-lapse, Slow Motion, Smart Scene, Text Recongnisation, GIF, PicNote, Smart Scan, Mood Photo, Cards Scanner",1.3 GHz,Quad Core,MT6737,,2 GB,1280 x 720 Pixels,,,Nano SIM and Nano SIM,Yes,8MP,Yes,Selfie,Fingerprint Security,,,"4G VoLTE, GSM, 4G LTE, WCDMA",,,,,154 g,
1205,1205,,,,,,,,,,1800 mAh,,,,,,,,,,2.4 inch,,,,Yes,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Winstar D555+,,,,‚¹999,0.3MP,Yes,0.3,1.2 MHz,,,,32 MB,320 x 240$$Pixels,,,Micro SIM,Yes,,No,,,,,"GSM, GSM",,,,,,
1206,1206,,,,,,,,,,1020 mAh,,,,,,,,,,2.4 inch,,,,,,,,,,,,,16 MB,,,Dedicated Slot,,,,,Nokia 216,,,,"‚¹2,539",0.3MP,,,,,,,16 MB,230 x 320 pixels,,,,,,,,,,,"GSM, GSM",,,,,,
1207,1207,,,"HSDPA Cat 24: 42 Mbit/s (DL), HSUPA Cat 6: 5.76 Mbit/s (UL), WCDMA: 384 Kbit/s (UL), 384 Kbit/s (DL)",,,,,3.5 mm,,3000 mAh,,Yes,4.2,,,,,,16.7M,5.65 inch,,,256 GB,Yes,,,"40 Kbit/s (UL), 60 Kbit/s (DL)",,Yes,,,,64 GB,"4G, 3G, GPRS, EDGE, Wi-Fi",,Hybrid Slot,,,,,Honor 9 Lite ,Android Oreo 8,Support Multi-touch Technology,,"‚¹14,999",13MP + 2MP,Yes,"Photo: Upto 4160 x 3120 Pixels, AF/PDAF, Wide Aperture Mode, Portrait Mode",2.36 GHz,Octa Core,Kirin 659,,4 GB,2160 x 1080 Pixels,,,Nano SIM,Yes,13MP + 2MP,Yes,"Photo: Upto 4160 x 3120 Pixels, Fixed Focus, Portrait Mode, Gesture Control","Fingerprint Sensor, Proximity Sensor, Ambient Light Sensor, Compass, Gravity Sensor, Phone Status Indicator",,,"4G VoLTE, UMTS, GSM, WCDMA",,,,,149 g,"802.11 b/g/n, 2.4 GHz"
1208,1208,,,DC-HSPA+ (DL / UL): 42 / 5.76 Mbps,,,,,3.5 mm,,5000 mAh,,Yes,4,,,,,,,5.2 inch,IPS,,2 TB,Yes,,,,,Yes,,,,32 GB,"4G, 3G, Wi-Fi, GPRS, EDGE",,Hybrid Slot,,,,,Asus Zenfone 3s Max ,Android Nougat 7,"Contrast Ratio: 16:9, Glare Type, Wide Active Matrix, On Cell 2.5D Glass, 5 Points Multi-touch",,"‚¹8,999",13MP,Yes,"F2.0, FOV 78.4",1.5 GHz,Octa Core,"Octa Core Processor MediaTek MT6750, 1.5GHz",,3 GB,1280 x 720 Pixels,,,Micro SIM and Nano SIM,Yes,8MP,Yes,"Fixed Focus, FOV 85","Accelerator, E-compass, Proximity, Ambient Light Sensor, Fingerprint",,,"4G LTE, 4G LTE",,,,,175 g,802.11 b/g/n/ac
1209,1209,,,HSPA+ (DL / UL): 42 / 5.76 Mbps,,,,,3.5 mm,,4100 mAh,,Yes,4,,,,,,,5.2 inch,IPS Panel,,32 GB,Yes,,,,,Yes,Mali T720,,,32 GB,"4G, 3G, Wi-Fi",,Hybrid Slot,,,,,Asus Zenfone 3_Max ,Android Marshmallow 6,"GFM Touch Panel (Directly Bonding): Capacitive Touch Panel with 5 Points Multi-touch, LED Backlight, Brightness: 400 nits, 179Degree View Angle",,"‚¹8,749",13MP,Yes,"5P Lens, F2.2, FOV 74.9Degree",1.25 GHz,Quad Core,Mediatek MediaTek 64-bit Quad Core 1.25GHz,,3 GB,1280 x 720 Pixels,,,Micro SIM and Nano SIM,Yes,5MP,Yes,"3P Lens, F2.4, FOV 74.5Degree","Accelerometer, E-Compass, Proximity, Ambient Light Sensor",,,"4G LTE, 4G LTE",,,,,148 g,802.11 b/g/n
1210,1210,,,,,,,,,,1200 mAh,,Yes,,,,,,,,3.5 inch,,,32 GB,Yes,,,,,No,,,,85.5 KB,WAP,,,,,,No,Micromax X455i,,,,"‚¹2,900",0.3MP,Yes,,,,,,,,,,Mini SIM,,,No,,,,,"GSM, GSM",,,,,,
1211,1211,,,,,,,,,,2500 mAh,,Yes,,,,,,,16 M,5 inch,,,,Yes,,,,,Yes,,Yes,,16 GB,,,Hybrid Slot,,,,,ZTE V7 Lite ,Android Marshmallow 6.0,,,"‚¹5,999",13MP,Yes,"Geo-Tagging, Touch Focus, Face Detection, HDR, Panorama",1 GHz,Quad Core,,,2 GB,720 x 1280 pixels,,,,Yes,8MP,Yes,"Geo-tagging, touch focus, face detection, HDR, panorama","Fingerprint (rear-mounted), accelerometer, proximity, compass",,,"4G VoLTE, GSM",,,,,133.3 g,
1212,1212,,,,,,,,,,3300 mAh,,,,,,,,,,5.7 inch,,,,,,,,,,,,,64 GB,,,Hybrid Slot,,,,,LG G6 ,Android Nougat 7,,,"‚¹29,990",13MP + 13MP,,,2.35 GHz,Quad Core,"Qualcomm Snapdragon 821, 2.35 Ghz",,4 GB,2880 x 1440 Pixels,,,,,5MP,,,,,,"4G LTE, GSM",,,,,,
1213,1213,,,,,,,,3.5 mm,,1000 mAh,,Yes,,,,,,,,1.8 inch,,,16 GB,Yes,,,,,,,,,10 MB,2G,,Dedicated Slot,,,,,Blackzone 230 Mini,,,,‚¹639,0.3MP,Yes,0.3 MP,1 MHz,,,,10 MB,320 x 240$$Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,,
1214,1214,,,,,,,,,,3180 mAh,,Yes,4.2,,,,,,,5.7 inch,TFT,,256 GB,No,,,,,Yes,,,,32 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,,OPPO A83 ,Android Nougat 7.1,83.9% (Display Area AA Peripheral Edge Size / Front Glass Area),,"‚¹12,350",13MP,Yes,"F2.2, AF, Facial Unlock, Bokeh Effect, Sensor Size / Pixel Size: 1 / 3.06 inch, 1.12micrometer, Wide-angle - 81Degree, Focal Length: 3.462mm, Macro Lens: Rear Macro 8cm, 5P Lens, Ordinary Camera, Video, Professional Mode, Time-lapse Photography, Panorama",2.5 GHz,Octa Core,MT6763T,,3 GB,1440 x 720 Pixels,,,,,8MP,Yes,"F2.2, Wide-angle - Front 85Degree, Sensor Size / Pixel Size - 1/4 inch, 4P Lens, Blur, Beauty, Filters, Panorama, HDR, Photo Management, AI Beauty","Geomagnetic Induction, Light Sensor, Distance Sensor, Gravity Sensor",,,"4G VoLTE, WCDMA, GSM",,,,,143 g,802.11 a/b/g/n (2.4G / 5G Dual-band)
1215,1215,,,,,,,,3.5 mm,,2800 mAh,,Yes,4,,,,,,16.7 M,5 inch,,,128 GB,Yes,,,,,Yes,ARM MALI- T720,Yes,,16 GB,4GVolte/LTE/3G,,Dedicated Slot,,,,,Aqua JAZZ ,Android Nougat 7.0,,,"‚¹5,399",13MP,Yes,"Face Beauty Mode, Night Mode, Geo-tagging",1.25 GHz,Quad Core,,,1 GB,720 x 1280 Pixels,,,Micro SIM and Nano SIM,Yes,5MP,Yes,Auto Focus/Beauty Mode/HDR/Anti Flicker,"Accelerometer, Proximity Sensor, Light Sensor",,,"4G VoLTE, GSM",,,,,151 g,
1216,1216,,,,,,,,3.5 mm,,800 mAh,,Yes,,,,,,,,1.8 inch,,,8 GB,Yes,,,,,,,,,10 MB,,,Dedicated Slot,,,,,Rocktel R3310,,,,‚¹569,0.3MP,,,1.0 MHz,,,,10 MB,240 x 360$$Pixs,,,,Yes,,,,,,,"GSM, GSM",,,,,,
1217,1217,,,,,,,,3.5 mm,,2730 mAh,,Yes,4.2,,,,,,,5.2 inch,TFT,,256 GB,,,,,,Yes,Qualcomm Adreno 308,,,16 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,,VIVO Y55S ,Android Marshmallow 6,2.5D Glass and Eye Protection Mode,,"‚¹10,990",13MP,Yes,"Ultra HD, Normal, Face Beauty, Videos, Night, Panorama, HDR, PPT, Pro",1.4 GHz,Quad Core,Qualcomm Snapdragon 425 64-bit Quad Core 1.4GHz,,3 GB,1280 x 720 Pixels,,,Micro SIM and Nano SIM,Yes,5MP,Yes,Smart Screen Flash,"Accelerometer, Ambient Light Sensor, Proximity Sensor, E-compass, (Virtual) Gyroscope",,,"4G LTE, 4G LTE",,,,,142 g,802.11 b/g/n/ac
1218,1218,,,,,,,,3.5 mm,,3000 mAh,,Yes,,,,,,,,1.4 inch,,,,,,,,,,,No,,32 MB,,,Dedicated Slot,,,,,Winstar W10,,,,‚¹899,0.8MP,Yes,,1.2 MHz,,,,32 MB,128 x 160$$Pixels,,,Mini SIM,Yes,,No,,,,,"GSM, GSM",,,,,130 g,
1219,1219,,,HSPA+,,,,,,,4000 mAh,,,,,,,,,16M,5.2 inch,TFT LCD IPS,,128 GB,,,,,,,,,,32 GB,"4G, 3G, GPRS, EDGE",,,,,,,Lenovo K8 ,Android Nougat 7.1.1,,,"‚¹9,699",13MP,Yes,Auto Focus,2.3 GHz,Octa Core,MTK P20,,3 GB,1280 x 720,,,Nano SIM,Yes,8MP,Yes,,Fingerprint Sensor,,,"4G VoLTE, 4G LTE, WCDMA",,,,,,
1220,1220,,,,,,,,3.5 mm,,1000 mAh,,Yes,,,,,,,65 K,2 inch,TFT,,16 GB,Yes,,,,,,,,,2 MB,,,,,,,,Samsung Metro 313 Dual Sim,,,,"‚¹2,025",0.3MP,Yes,,,,0 0 0 0 Processor,,10 MB,320 x 240 pixels,,,Micro SIM,Yes,,,,,,,"GSM, GSM",,,,,75.2 g,
1221,1221,,,,,,,,,,850 mAh,,,,,,,,,,1.8 inch,,,,,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Peace FM1,,,,‚¹499,0.3MP,Yes,,1.2 MHz,,,,32 MB,320 x 240$$Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,,
1222,1222,,,,,,,,,,850 mAh,,,,,,,,,,1.77 inch,,,,,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Kechaoda K-55 Plus,,,,‚¹908,0.3MP,,,,,,,512 MB,320 x 480 Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
1223,1223,,,,,,,,3.5 mm,,2500,,Yes,,,,,,,,5.0,,,,,,,,,,,Yes,,16 GB,,,Dedicated Slot,,,,,Panasonic P91 ,Android Nougat 7.0,,,"‚¹4,405",8MP,Yes,,1.1 GHz,Quad Core,,,1 GB,720 x 1280$$Pixels,,,Micro SIM,Yes,,Yes,,"Proximity Sensor, Accelerometer, Ambient Light Sensor, Gyroscope",,,"4G LTE, GSM",,,,,,
1224,1224,,,,,,,,,,400 mAh,,,,,,,,,,1.44 inch,,,,,,,,,,,,,32 MB,,,,,,,,Chilli C10,,,,‚¹846,0.3MP,,,,,,,32 MB,320 x 480 Pixels,,,,,,,,,,,GSM,,,,,,
1225,1225,,,,,,,,,,850 mAh,,,,,,,,,,1.8 inch,,,,,,,,,,,,,256 MB,,,Dedicated Slot,,,,,Peace P3,,,,‚¹587,0.3MP,,,1 MHz,,,,56 MB,320 x 240 Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
1226,1226,,,,,,,,3.5 mm,,1400 mAh,,Yes,,,,,,,,4 inch,,,32 GB,Yes,,,,,,,Yes,,8 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,,Karbonn A40 Indian ,Android Nougat 7.0,,,"‚¹2,949",2MP,Yes,,1.3 GHz,Quad Core,Mediatek,,1 GB,800x480 Pixels,,,,Yes,0.3MP,Yes,,,,,"4G LTE, GSM",,,,,115 g,
1227,1227,,,,,,,,,,1000 mAh,,,,,,,,,,1.77 inch,,,,,,,,,,,,,1 MB,,,,,,,,ssky K7,,,,‚¹699,1MP,,,,,,,1 MB,320 x 480 Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
1228,1228,,,42 Mbps HSDPA; 11.5 Mbps HSUPA,,,,,3.5 mm,,4000 mAh,,Yes,4,,,,,,16 M,5 inch,IPS LCD,,128 GB,Yes,,,Class 12,,Yes,Huawei EMUI 3.1 LITE,,,16 GB,"4G, 3G, Wi-Fi, GPRS, EDGE",,,,,,,Honor Holly 2 Plus ,Android Lollipop 5.1,Full Touch Screen Supporting 5-point Multi-touch,,"‚¹6,384",13MP,Yes,Auto Focus,1.3 GHz,Quad Core,ARM Cortex-A53 MTK MT6735P Quad Core 1.3GHz,,2 GB,1280 x 720 Pixels,,,Micro SIM,Yes,5MP,Yes,"Fixed Focus, HD Video Recording","G-Sensor, Proximity Sensor, Light Sensor",,,"4G LTE, 4G LTE",,,,,160 g,802.11 b/g/n
1229,1229,,,"HSDPA, HSUPA",,,,,3.5 mm,,2500 mAh,,Yes,4,,,,,,,5 inch,IPS on-cell,,64 GB,Yes,,,Class 12,,Yes,Mali-T720 MP2 at 450 MHz,,,16 GB,"4G, 3G, Wi-Fi, GPRS, EDGE, WAP",,Dedicated Slot,,,,,Micromax Canvas Unite 4 Plus ,Android Marshmallow 6,"Corning Glass, Multitouch",,"‚¹6,499",8MP,Yes,"Auto Focus, Multi Shot",1 GHz,Quad Core,Mediatek MT6735P Quad Core 1GHz,,2 GB,1280 x 720 pixels,,,Micro SIM and Micro SIM,Yes,5MP,Yes,Fixed Focus,"Fingerprint Sensor, Gravity Sensors, Proximity Sensor, Light Sensor",,,"4G LTE, 4G LTE",,,,,,802.11 b/g/n
1230,1230,,,,,,,,3.5 mm,,1000 mAh,,Yes,,,,,,,,2.4 inch,,,32 GB,Yes,,,,,,,,,0 MB,"WAP, GPRS",,Dedicated Slot,,,,,Lava ARC One Plus,,,,"‚¹1,359",0.3MP,Yes,,,,MTK6261D,,,240 x 320 pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,81 g,
1231,1231,,,,,,,,,,650 mAh,,,,,,,,,,1.44 inch,,,,,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Chilli C08,,,,‚¹842,0.03MP,,,,,,,32 MB,240 x 120 Pixels,,,,,,,,,,,GSM,,,,,,
1232,1232,,,,,,,,3.5 mm,,1000 mAh,,Yes,,,,,,,,1.8 inch,,,8 GB,Yes,,,,,,,,,64 MB,,,Dedicated Slot,,,,,I Kall K88 Combo Of Two Mobile,0,,,"‚¹1,499",0.3MP,Yes,,,,,,32 MB,128 x 160 Pixels,,,,Yes,,No,,,,,"GSM, GSM",,,,,,
1233,1233,,,,,,,,,,4000 mAh,,,,,,,,,,5 inch,,,128 GB,,,,,,Yes,,,,16 GB,"4G, 3G, Wi-Fi",,,,,,,Panasonic Eluga A2 ,Android Lollipop 5.1,"IPS Display, Brightness: 450 nits, 178Degree View Angle, On Cell Touch Technology, 75% NTSC Gamut, 1000:1 Contrast Ratio",,"‚¹7,499",8MP,Yes,"Auto Focus, 5P Super Slim Lens, F2.2 Aperture, Smart De-Noise Solution",1 GHz,Quad Core,,,3 GB,1280 x 720 Pixels,,,,Yes,5MP,Yes,Selfies,,,,"UMTS, UMTS",,,,,,
1234,1234,,,,,,,,,,1000 mAh,,,,,,,,,,1.8 inch,,,,,,,,,,,,,64 MB,,,,,,,,I Kall K16,,,,‚¹599,0.3MP,,,,,,,32 MB,128 x 160,,,,,,,,,,,"GSM, GSM",,,,,,
1235,1235,,,,,,,,,,950 mAh,,,,,,,,,,2.8 inch,,,,,,,,,,,,,56 MB,,,Dedicated Slot,,,,,Micromax X803,0,,,"‚¹1,414",0.03MP,,,1 MHz,,,,56 MB,240 x 320$$Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
1236,1236,,,,,,,,,,2500 mAh,,,,,,,,,,5.5 inch,,,,,,,,,,,,,16 GB,,,Hybrid Slot,,,,,Coolpad Mega 2.5D ,Android Marshmallow 6.0,,,"‚¹7,699",8MP,,,1 GHz,Quad Core,,,3 GB,1280 x 720 Pixels,,,,,,,,,,,"4G LTE, GSM",,,,,,
1237,1237,,,,,,,,,,1800 mAh,,Yes,,,,,,,,2.4 inch,,,32 GB,Yes,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Karbonn K9 Boss,,,,"‚¹1,049",0.3MP,Yes,,,,,,32 MB,220 x 320 Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,,
1238,1238,,,,,,,,3.5 mm,,3000 mAh,,Yes,4.2,,,,,,,5.7 inch,IPS,,256 GB,,,,,,Yes,Qualcomm Adreno 506,,,32 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,No,VIVO V7 ,Android Nougat 7.1,"2.5D Glass, Full View 18:9 Display",,"‚¹16,990",16MP,Yes,"Face Beauty, Panorama, HDR, PPT, Professional, Videos, Time Lapse Photography, Slow, Camera Filter, Voice, Touch, Palm, Ultra HD, Portrait Mode, Face Access",1.8 GHz,Octa Core,Qualcomm Snapdragon 450 Octa Core 1.8 GHz,,4 GB,1440 x 720 Pixels,,,Dual Nano SIM,Yes,24MP,Yes,"Face Beauty, Videos, Voice, Touch, Palm, Gender Detection, Mirrored Selfie, Photo Water, Portrait Mode, Group Selfie, HDR, Camera Filter","Fingerprint Sensor, Accelerometer, Ambient Light Sensor, Proximity Sensor, E-compass, Gyroscope",,,"4G VoLTE, GSM, 4G LTE, WCDMA",,,,,139 g,802.11 b/g/n/ac
1239,1239,,,,,,,,3.5 mm,,1000 mAh,,Yes,,,,,,,,1.8 inch,,,8 GB,Yes,,,,,,,,,64 MB,,,Dedicated Slot,,,,,I Kall K31 Combo of Two Mobile,0,,,"‚¹1,199",0.3MP,Yes,,,,,,32 MB,128 x 160 Pixels,,,,Yes,,No,,,,,"GSM, GSM",,,,,,
1240,1240,,,,,,,,,,1800 mAh,,,,,,,,,,2.4 inch,,,32 GB,,,,,,,,,,32 MB,,,Dedicated Slot,,,,,InFocus Selfie C2,,Super quality DVGA display,,"‚¹1,025",0.3MP,Yes,,,,,,32 MB,320 x 240$$Pixels,,,Standard SIM,Yes,,Yes,,,,,"GSM, GSM",,,,,,
1241,1241,,,,,,,,3.5 mm,,950 mAh,,Yes,,,,,,,,1.8 inch,,,16 GB,Yes,,,,,,,,,64 MB,,,Dedicated Slot,,,,,Gfive N9 Combo of Two Mobile,0,,,"‚¹1,099",0.3MP,Yes,,,,,,32 MB,128 x 160$$Pixels,,,,Yes,,No,,,,,"GSM, GSM",,,,,,
1242,1242,,,,,,,,,,2000 mAh,,,,,,,,,,4.5 inch,,,,,,,,,,,,,8 GB,,,Dedicated Slot,,,,,Intex Aqua Q7N Pro ,Android Lollipop 5.1,,,"‚¹3,149",5MP,,,1.2 GHz,Quad Core,,,1 GB,480 x 854 Pixels,,,,,,,,,,,"WCDMA, GSM",,,,,,
1243,1243,,,,,,,,3.5 mm,,1750 mAh,,Yes,4,,,,,,16 M,4.5 inch,TFT,,32 GB,Yes,,,,,Yes,,Yes,,8 GB,"Wi-Fi, 3G, GPRS, EDGE, 4G",,,,,,,Micromax Canvas Blaze 4G+ ,Android Lollipop 5.1,IPS Display,,"‚¹3,603",8MP,Yes,Auto Focus,1 GHz,Single Core,,,1 GB,854x480 Pixel,,,Mini SIM & Micro SIM,Yes,2MP,Yes,,"Light Sensor, Gravity Sensor, Proximity Sensor",,,"GSM, UMTS",,,,,,802.11 b/g/n
1244,1244,,,,,,,,3.5 mm,,1800 mAh,,Yes,,,,,,,,2.4 inch,,,,,,,,,,,,,1 MB,,,Dedicated Slot,,,,,Celkon C9 Mega,,,,"‚¹1,295",1.3MP,,,1 MHz,,,,1 MB,240 x 320$$Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
1245,1245,,,,,,,,,,1800,,,,,,,,,,2.4,,,,,,,,,,,,,64 MB,,,Dedicated Slot,,,,,Ssky S9007 Rainbow Combo of Two Mobiles,,,,"‚¹1,940",1.3MP,,,1.2 MHz,,,,64 MB,320 x 420$$Pixels,,,Normal SIM,Yes,,,,,,,"GSM, GSM",,,,,,
1246,1246,,,,,,,,,,2000 mAh,,Yes,4,,,,,,,4.5 inch,,,,,,,,,,,,,8 GB,,,,,,,,Lenovo B ,Android Marshmallow 6,,,"‚¹4,449",5MP,,,1 GHz,Quad Core,Quad Core 1GHz,,1 GB,480 x 854 Pixels,,,Micro SIM,,,,,,,,"GSM, 4G LTE",,,,,,
1247,1247,,,,,,,,3.5 mm,,1800 mAh,,Yes,,,,,,,,2.4 inch,,,8 GB,Yes,,,,,,,,,64 MB,,,Dedicated Slot,,,,,I Kall K35 Combo Of Two Mobile,0,,,"‚¹1,499",0.3MP,Yes,,,,,,32 MB,240 x 320 Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,,
1248,1248,,,,,,,,,,1800 mAh,,,,,,,,,,2.4 inch,,,,,,,,,,,,,100 KB,,,,,,,,Mafe STAR,,,,"‚¹1,299",0.3MP,,,,,,,,0,,,,,,,,,,,"GSM, GSM",,,,,,
1249,1249,,,,,,,,3.5 mm,,4000 mAh,,Yes,,,,,,,16 M,5.5 inch,,,,Yes,,,,,Yes,,Yes,,32 GB,,,Hybrid Slot,,,,,Lenovo K6 Note ,Android Marshmallow 6,,,"‚¹9,600",16MP,Yes,,1.4 GHz,Octa Core,Qualcomm Octa Core 1.4GHz,,3 GB,1080 x 1920 Pixels,,,Nano SIM,Yes,,Yes,,,,,"4G VoLTE, GSM",,,,,,
1250,1250,,,,,,,,3.5 mm,,1000 mAh,,Yes,2.1,,,,,,262 K,2.4 inch,QVGA,,16 GB,Yes,,,Class 12,,,,,,32 MB,2G,,,,,,,Mtech V7,,,,‚¹925,0.3MP,Yes,,,,,,32 MB,240 x 320 Pixels,,,Normal SIM,Yes,,,,,,,"GSM, GSM",,,,,72 g,
1251,1251,,,,,,,,,,800 mAh,,,,,,,,,,1.77 inch,,,,,,,,,,,,,64 MB,,,Dedicated Slot,,,,,MTR 230 Mini,,,,‚¹640,0.3MP,,,1.4 MHz,,,,64 MB,120 x 240$$Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
1252,1252,,,,,,,,,,1000 mAh,,,,,,,,,,2.4 inch,,,,,,,,,,,,,32 KB,,,Dedicated Slot,,,,,Ziox Starz Flash,,,,‚¹999,0.3MP,Yes,,,,,,32 MB,320 x 480$$Pixels,,,,Yes,,No,,,,,"GSM, GSM",,,,,,
1253,1253,,,,,,,,,,3200 mAh,,,,,,,,,,5 inch,,,32 GB,Yes,,,,,Yes,,,,16 GB,"3G, Wi-Fi",,Dedicated Slot,,,,,Panasonic P66 Mega ,Android Lollipop 5.1,IPS Display,,"‚¹5,499",8MP,Yes,,1.3 GHz,Quad Core,0 0 Quad Core 1.3GHz,,2 GB,1280 x 720 Pixels,,,,Yes,5MP,Yes,,,,,"GSM, WCDMA",,,,,,
1254,1254,,,,,,,,3.5 mm,,1700 mAh,,,,,,,,,,4.77 inch,"HD, IPS, FL",,32 GB,,,,,,,,,,16 GB,,,,,,,,Intex Aqua Speed HD ,Android KitKat 4.4.2,,,"‚¹4,499",8MP,,,1.3 GHz,,,,2 GB,1280 x 720 Pixels,,,,,5MP,,,"Gravity sensor, Proximity sensor, Light Sensor",,,"UMTS, UMTS",,,,,120 g,
