,Unnamed: 0,2G bands,3.5mm jack,3G Speed,3G bands,4G bands,Alert types,Announced,Audio Jack,Audio quality,Battery Capacity,Battery life,Bluetooth Support,Bluetooth Version,Browser,Browser.1,Build,Camera,Dimensions,Display Colors,Display Size,Display Type,EDGE,Expandable Storage,FM Radio,Features,GPRS,GPRS Features,GPS,GPS Support,GPU,Instant Message,Internal,Internal Storage,Internet Connectivity,Loudspeaker,Memory Card Slot Type,Messaging,Multitouch,Music play,NFC,Name,Operating System,Other Display Features,Performance,Price_INR,Primary Camera,Primary Camera Available,Primary Camera Features,Primary Clock Speed,Processor Core,Processor Type,Protection,RAM,Resolution,SAR,SAR EU,SIM Size,SMS,Secondary Camera,Secondary Camera Available,Secondary Camera Features,Sensors,Stand-by,Status,Supported Networks,Talk time,USB,Video,WLAN,Weight,Wi-Fi Version
21,21,,,,,,,,3.5 mm Stereo,,3000 mAh,,Yes,v4.1,,,,,,16 M,5.5 inch,Super AMOLED,,256 GB,,,,,,Yes,,,,16 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,,Samsung Galaxy J7 Nxt ,Android Nougat 7.0,,,"‚¹9,990",13MP,Yes,"f1.9, Auto Focus",1.6 GHz,Octa Core,Exynos Octa-Core 1.6 GHz,,2 GB,1280 x 720 Pixels,,,Micro SIM (3FF),,5MP,Yes,f2.2,"Accelerometer, Proximity Sensor",,,4G LTE,,,,,170 g,802.11 b/g/n (2.4 GHz)
22,22,,,"HSDPA (Downlink Speed): Rel.7 21 Mbps Downlink, HSUPA (Uplink Speed): Rel.7 5.76 Mbps Uplink",,,,,3.5 mm,,2500 mAh,,Yes,4,,,,,,16.7 M,5.0 inch,TFT,,32 GB,Yes,,,Class 12,,Yes,Mali - T720 MP1,,,16 GB,"4G, 3G, Wi-Fi, WAP, GPRS",,Dedicated Slot,,,,,Micromax Bharat 4 ,Android Nougat 7,"Pinch Zoom, x2 Multitouch",,"‚¹4,999",5MP,Yes,"Fixed Focus, 1944 x 2592 Pixels, Zoom Level x4, Brightness Level: 0 - 6, Multi Shot: 3, 6, 10, Night Mode, Video Recording: 720p",1.3 GHz,Quad Core,MT6737,,1 GB,1280 x 720 Pixels,,,Micro SIM and Micro SIM,Yes,5MP,Yes,"Fixed Focus, 1944 x 2592 Pixels","Gravity Sensors, Proximity Sensor (By SW)",,,"4G VoLTE, GSM, UMTS, 4G LTE, WCDMA",,,,,150 g,802.11b/g/n
23,23,,,,,,,,3.5 mm,,1750 mAh,,Yes,,,,,,,,1.8 inch,,,32 GB,Yes,,,,,,,,,,,,Dedicated Slot,,,,,Lava Captain K1 Plus,,,,‚¹939,0.3MP,Yes,,,,SC6531DA,,,128 x 160 Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,120 g,
24,24,,,,,,,,,,2820 mAh,,Yes,,,,,,,,5.5 inch,IPS,,32,,,,,,,,,,16 GB,,,,,,,,Micromax Canvas Play 4G Q469 Dual Sim - Moon Dust ,Android Lollipop 5.0.2,,,"‚¹6,499",13MP,Yes,,1.2 GHz,Quad Core,,,2 GB,1280 x 720 Pixels,,,Nano SIM,Yes,5MP,Yes,,"Light Sensor, Gravity Sensor, Proximity, Magnetic Sensor",,,"UMTS, UMTS",,,,,100 g,
25,25,,,,,,,,3.5 mm,,1800,,Yes,,,,,,,,2.4,,,32 GB,Yes,,,,,,,,,2 MB,,,Dedicated Slot,,,,,Fox Champ FX240,,,,‚¹999,0.3MP,Yes,,1 MHz,,,,1 MB,240 x 320$$Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,,
26,26,,,,,,,,,,2000 mAh,,,,,,,,,,4 inch,,,,,,,,,,,,,4 GB,,,Dedicated Slot,,,,,Karbonn Alfa A91 Storm 3G ,Android Lollipop 5.1,,,"‚¹2,548",2MP,,,1.2 GHz,Quad Core,,,512 MB,480 x 800,,,,,,,,,,,"GSM, WCDMA",,,,,,
27,27,,,,,,,,,,1750 mAh,,,,,,,,,,1.77 inch,,,,,,,,,,,,,256 MB,,,,,,,,Micromax Dual Sim,0,,,"‚¹1,049",0.3MP,,,,,,,,320 x 240,,,,,,,,,,,"GSM, GSM",,,,,,
28,28,,,,,,,,,,2200 mAh,,Yes,4,,,,,,,5 inch,IPS On Cell,,128 GB,,,,,,Yes,,,,16 GB,"3G, 4G, EDGE, GPRS, Wi-Fi",,Hybrid Slot,,,,,Panasonic Eluga I2 Activ ,Android Nougat 7,HD IPS On Cell Display with Asahi Dragontrail Glass,,"‚¹7,499",8MP,Yes,"5P Lens Element, F2.2 Aperture, Modes: HDR, Panoramic",1.25 GHz,Quad Core,MTK6737,,2 GB,1280 x 720 Pixels,,,Micro SIM and Nano SIM,Yes,5MP,Yes,"F2.2 Aperture, 4P Lens Elements, Modes: Beauty Mode, HDR","Accelerometer, Proximity Sensor, Ambient Light Sensor",,,"4G VoLTE, UMTS, GSM, 4G LTE, WCDMA",,,,,133 g,802.11 b/g/n
29,29,,,,,,,,3.5 mm,,1800 mAh,,Yes,,,,,,,,1.8 inch,,,32 GB,Yes,,,,,,,,,64 MB,,,Dedicated Slot,,,,,1+1=2 D6,0,,,‚¹669,0.3MP,Yes,,,,,,32 MB,128 x 160$$Pixels,,,,Yes,,No,,,,,"GSM, GSM",,,,,,
30,30,,,,,,,,,,2200 mAh,,,,,,,,,,2.4 inch,,,,,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Mezire G3310,,,,"‚¹1,234",0.03MP,,,1.2 MHz,,,,32 MB,176 x 220$$Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
31,31,,,,,,,,,,5000 mAh,,Yes,4,,,,,,Ashai Enabled Glass for Display Protection,5.5 inch,IPS,,128 GB,,,,,,Yes,,,,16 GB,"4G, 3G, EDGE, GPRS, Wi-Fi",,Dedicated Slot,,,,,Panasonic P55 Max ,Android Nougat 7.0,,,"‚¹7,999",13MP,Yes,"5P Lens Element Modes: Normal, Beauty, Panorama",1.25 GHz,Quad Core,MediaTek MTK6737 Quad Core 1.25 GHz,,3 GB,1280 x 720 pixels,,,Micro SIM and Nano SIM,Yes,5MP,Yes,"Normal, Beauty Mode, HDR","Accelerometer, Proximity Sensor, Ambient Light Sensor",,,"4G LTE, 4G LTE",,,,,180 g,802.11 b/g/n
32,32,,,,,,,,,,600 mAh,,,,,,,,,,1.77 inch,,,,,,,,,,,,,256 MB,,,Dedicated Slot,,,,,GreenBerry M1,,,,‚¹999,2MP,,,,,,,256 MB,320 x 480 Pixels,,,Micro SIM,Yes,,,,,,,GSM,,,,,,
33,33,,,,,,,,,,3090 mAh,,Yes,,,,,,,,5.3 inch,,,256 GB,,,,,,Yes,,,,64 GB,"4G, 3G, Wi-Fi",,,,,,,Nokia 8 ,Android Nougat 7.1.1,,,"‚¹29,999",13MP + 13MP,Yes,Dual Sight Mode,2.5 GHz,Octa Core,,,4 GB,2560 x 1440 Pixels,,,Nano SIM and Nano SIM,Yes,13MP,Yes,,"Compass Magnetometer, Proximity Sensor, Accelerometer, Ambient Light Sensor, Gyroscope and Barometer",,,"4G LTE, UMTS, WCDMA",,,,,,
34,34,,,,,,,,,,1000 mAh,,Yes,,,,,,,,1.8 inch,,,8 GB,,,,,,,,,,64 MB,,,Dedicated Slot,,,,,I Kall K 20,,,,‚¹549,0.3MP,Yes,,,,,,32 MB,128 x 160 Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,,
35,35,,,,,,,,,,3020 mAh,,,,,,,,,,5.5 inch,IPS,,128 GB,,,,,,,,,,32 GB,"4G, 3G, Wi-Fi",,Hybrid Slot,,,,,Lava Z25 ,Android Marshmallow 6,"2.5D Curved Glass with Metallic Frame, Brightness: 500 nits",,"‚¹14,990",13MP,Yes,"Sony Exmor RS IMX 258 Sensor, Aperture 2.0",1.5 GHz,Octa Core,Mediatek MT6750 Octa Core 1.5GHz,,4 GB,1280 x 720 pixels,,,,Yes,8MP,Yes,"Aperture 2.0, Selfies",Fingerprint Sensor,,,"4G LTE, 4G LTE",,,,,163 g,
36,36,,,,,,,,3.5 mm,,3000 mAh,,Yes,,,,,,,,2.4 inch,,,32 GB,Yes,,,,,,,,,32 MB,,,Dedicated Slot,,,,,InFocus F229,,,,"‚¹1,199",1.3MP,Yes,,,,,,32 MB,320 x 240 Pixels,,,Normal SIM,Yes,,,,,,,"GSM, GSM",,,,,,
37,37,,,,,,,,,,800,,,,,,,,,,1.8,,,,,,,,,,,,,64 MB,,,Dedicated Slot,,,,,I Kall K12,,,,‚¹599,0.3MP,Yes,,,,,,32 MB,128 x 160$$Pixels,,,Normal SIM,Yes,,,,,,,"GSM, GSM",,,,,,
38,38,,,,,,,,,,600 mAh,,,,,,,,,,1.77 inch,,,,,,,,,,,,,256 MB,,,Dedicated Slot,,,,,GreenBerry M3,,,,‚¹999,2MP,,,,,,,256 MB,320 x 480 Pixels,,,Micro SIM,Yes,,,,,,,GSM,,,,,,
39,39,,,,,,,,,,1750,,,,,,,,,,2.2,,,,,,,,,,,,,64 MB,,,Dedicated Slot,,,,,Citycall M87,,,,"‚¹1,099",1.2MP,,,1.2 MHz,,,,64 MB,320 x 400$$Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
40,40,,,,,,,,,,3090 mAh,,Yes,,,,,,,,5.3 inch,,,256 GB,,,,,,Yes,,,,64 GB,"4G, 3G, Wi-Fi",,,,,,,Nokia 8 ,Android Nougat 7.1.1,,,"‚¹29,960",13MP + 13MP,Yes,Dual Sight Mode,2.5 GHz,Octa Core,,,4 GB,2560 x 1440 Pixels,,,Nano SIM and Nano SIM,Yes,13MP,Yes,,"Compass Magnetometer, Proximity Sensor, Accelerometer, Ambient Light Sensor, Gyroscope and Barometer",,,"4G LTE, UMTS, WCDMA",,,,,,
41,41,,,,,,,,3.5 mm,,950 mAh,,Yes,,,,,,,,1.8 inch,,,8 GB,Yes,,,,,,,,,64 MB,,,Dedicated Slot,,,,,GLX W8,0,,,‚¹569,0.3MP,Yes,,,,,,32 MB,128 x 160$$Pixels,,,,Yes,,No,,,,,"GSM, GSM",,,,,,
