,Unnamed: 0,3.5mm jack,Battery,Card slot,Clock Speed,GPS Support,GPU,ID,Internal Storage,NFC,Name,OS,Price,Primary Camera,Resolution,SIM,Secondary Camera,Sensors,Weight
144,21,Yes,3000.0,Dedicated Slot,1.6 GHz,Yes,,21,16 GB,,"Samsung Galaxy J7 Nxt (Gold, 16 GB)  (2 GB RAM)",Android Nougat 7.0,,13MP,1280 x 720 Pixels,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g
145,24,,2820.0,,1.2 GHz,,,24,16 GB,,"Micromax Canvas Play 4G Q469 Dual Sim - Moon Dust (Grey, 16 GB)  (2 GB RAM)",Android Lollipop 5.0.2,,13MP,1280 x 720 Pixels,Nano SIM,5MP,"Light Sensor, Gravity Sensor, Proximity, Magnetic Sensor",100 g
146,53,Yes,3000.0,Dedicated Slot,1.6 GHz,Yes,,53,16 GB,,"Samsung Galaxy J7 Nxt (Black, 16 GB)  (2 GB RAM)",Android Nougat 7,,13MP,1280 x 720 Pixels,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g
147,60,,4000.0,,1.3 GHz,,,60,8 GB,,"Micromax JUICE 3 (COSMIC GREY, 8 GB)  (2 GB RAM)",Android Lollipop V5.1,,8MP,1280 x 720 Pixels,,,,
148,77,,2000.0,,1.3 GHz,,,77,8 GB,,"Micromax Canvas Amaze (Black, 8 GB)  (2 GB RAM)",Android Lollipop 5.1,,13MP,1280 x 720 Pixels,,,,
149,81,Yes,3600.0,,2.3 GHz,,,81,32 GB,Yes,"Samsung Galaxy S7 Edge (Black Onyx, 32 GB)  (4 GB RAM)",Android Marshmallow 6,,12MP,2560 X 1440 Pixels,Nano SIM,5MP,"Accelerometer, Barometer, Fingerprint Sensor, Gyro Sensor, Geo-magnetic Sensor, Hall Sensor, HR Sensor, Proximity Sensor, RGB Light Sensor",157 g
150,123,,1300.0,Dedicated Slot,1.3 GHz,,,123,4 GB,,"Micromax Bharat 2 (Grey, 4 GB)  (512 MB RAM)",Android Marshmallow 6,,2MP,480 x 800 Pixels,,0.3MP,,
151,125,Yes,3000.0,Dedicated Slot,1.6 GHz,Yes,,125,32 GB,,"Samsung Galaxy J7 Nxt (Gold, 32 GB)  (3 GB RAM)",Android Nougat 7,,13MP,1280 x 720 Pixels,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g
152,134,Yes,3300.0,Hybrid Slot,2.2 GHz,Yes,,134,64 GB,,"Samsung Galaxy C7 Pro (Navy Blue, 64 GB)  (4 GB RAM)",Android Marshmallow 6.0,,16MP,1920 x 1080 Pixels,,16MP,,
153,147,Yes,3000.0,Dedicated Slot,1.6 GHz,Yes,,147,32 GB,,"Samsung Galaxy J7 Nxt (Gold, 32 GB)  (3 GB RAM)",Android Nougat 7,,13MP,1280 x 720 Pixels,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g
154,162,Yes,3000.0,Hybrid Slot,2.7 GHz,,ARM Heimdall MP18,162,64 GB,Yes,"Samsung Galaxy S9 (Midnight Black, 64 GB)  (4 GB RAM)",Android Oreo 8,,12MP,2960 x 1440 Pixels,Nano SIM,8MP,,163 g
155,165,Yes,3500.0,Hybrid Slot,2.7 GHz,,ARM Heimdall MP18,165,64 GB,Yes,"Samsung Galaxy S9 Plus (Lilac Purple, 64 GB)  (6 GB RAM)",Android Oreo 8,,12MP + 12MP,2960 x 1440 Pixels,Nano SIM,8MP,,189 g
156,183,Yes,3600.0,Dedicated Slot,1.9 GHz,Yes,,183,32 GB,Yes,"Samsung Galaxy A7-2017 (Black Sky, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,16MP,1920 x 1080 pixels,Nano SIM,16MP,"Accelerometer, Barometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Proximity Sensor, RGB Light Sensor",
157,184,Yes,3000.0,Dedicated Slot,1.6 GHz,Yes,,184,32 GB,,"Samsung Galaxy J7 Nxt (Black, 32 GB)  (3 GB RAM)",Android Nougat 7,,13MP,1280 x 720 Pixels,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g
158,205,Yes,1300.0,Dedicated Slot,1.5 GHz,Yes,Mali-400 512 MHz,205,4 GB,,"Micromax Bharat 2 Ultra (Black, 4 GB)  (512 MB RAM)",Android Marshmallow 6.0,,2MP,480 x 800 Pixels,Micro SIM and Normal SIM,0.3MP,Gravity Sensors,120 g
159,231,Yes,4000.0,Dedicated Slot,1.95 GHz,Yes,Qualcomm Adreno 510,231,64 GB,,"Samsung Galaxy C9 Pro (Gold, 64 GB)  (6 GB RAM)",Android Marshmallow 6,,16MP,1920 x 1080 pixels,Nano SIM (4FF),16MP,"Accelerometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Proximity Sensor, RGB Light Sensor",189 g
160,238,Yes,3000.0,Dedicated Slot,1.6 GHz,Yes,,238,16 GB,,"Samsung Galaxy J7 Nxt (Gold, 16 GB)  (2 GB RAM)",Android Nougat 7.0,,13MP,1280 x 720 Pixels,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g
161,243,Yes,3600.0,Dedicated Slot,1.6 GHz,Yes,,243,64 GB,Yes,"Samsung Galaxy J7 Pro (Gold, 64 GB)  (3 GB RAM)",Android Nougat 7.0,,13MP,1920 x 1080 Pixels,Nano SIM (4FF),13MP,"Accelerometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Light Sensor, RGB Light Sensor, Proximity Sensor",178 g
162,292,Yes,3000.0,Hybrid Slot,2.7 GHz,,ARM Heimdall MP18,292,64 GB,Yes,"Samsung Galaxy S9 (Lilac Purple, 64 GB)  (4 GB RAM)",Android Oreo 8,,12MP,2960 x 1440 Pixels,Nano SIM,8MP,,163 g
163,305,Yes,2600.0,Dedicated Slot,1.5 GHz,,,305,16 GB,,"Samsung Galaxy J2 Pro (Gold, 16 GB)  (2 GB RAM)",Android Marshmallow 6.0.1,,8MP,1280 x 720 Pixels,Micro SIM,5MP,"Accelerometer Sensor, Proximity Sensor",
164,343,Yes,2600.0,Dedicated Slot,1.5 GHz,Yes,,343,16 GB,Yes,"Samsung Galaxy J3 Pro (Gold, 16 GB)  (2 GB RAM)",Android Lollipop 5.1,,8MP,1280 x 720 Pixels,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",138 g
165,345,Yes,3000.0,Dedicated Slot,1.6 GHz,Yes,,345,32 GB,,"Samsung Galaxy J7 Nxt (Gold, 32 GB)  (3 GB RAM)",Android Nougat 7,,13MP,1280 x 720 Pixels,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g
166,349,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,349,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
167,355,,3000.0,Hybrid Slot,1.5 GHz,Yes,ARM Mali-T720,355,32 GB,,"Micromax Evok Dual Note (Champagne, 32 GB)  (3 GB RAM)",Android Nougat 7,,13MP + 5MP,1920 x 1080 Pixels,Nano SIM and Nano SIM,5MP,"Gravity Sensors, Proximity Sensor, Light Sensor, Accelerometer, Gyroscope, E-compass",
168,358,Yes,2500.0,Dedicated Slot,1 GHz,Yes,Mali-T720 MP2 at 450 MHz,358,16 GB,,"Micromax Canvas Unite 4 Plus (Champange, 16 GB)  (2 GB RAM)",Android Marshmallow 6,,8MP,1280 x 720 pixels,Micro SIM and Micro SIM,5MP,"Fingerprint Sensor, Gravity Sensors, Proximity Sensor, Light Sensor",
169,387,Yes,3300.0,Dedicated Slot,1.6 GHz,Yes,ARM Mali T830 MP1,387,32 GB,Yes,"Samsung Galaxy J7 Prime (Gold, 32 GB)  (3 GB RAM)",Android Marshmallow 6,,13MP,1920 x 1080 Pixels,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",
